﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Acocks Green,E05011118,Economically active (excluding full-time students),In employment,Employee,7970,42.56,"{""coordinates"": [[[[-1.809269402, 52.445379085], [-1.809558732, 52.444812262], [-1.811477454, 52.443377789], [-1.812276497, 52.4429979], [-1.811577626, 52.442329741], [-1.812421932, 52.441997557], [-1.811843487, 52.4413943], [-1.812016736, 52.440414673], [-1.813819707, 52.438118798], [-1.814565691, 52.437725239], [-1.816115863, 52.437805936], [-1.816733097, 52.435811947], [-1.816797322, 52.433803706], [-1.817125983, 52.432569875], [-1.818712819, 52.43117701], [-1.820402691, 52.430455914], [-1.825269657, 52.429290868], [-1.827543076, 52.429757235], [-1.832129644, 52.431091633], [-1.839009556, 52.434035502], [-1.835456486, 52.438231718], [-1.834525868, 52.439655293], [-1.833796522, 52.442309976], [-1.833275512, 52.443542681], [-1.832015343, 52.44532446], [-1.831798666, 52.446574666], [-1.83105358, 52.448290747], [-1.833443355, 52.448997129], [-1.833782226, 52.451214536], [-1.834492105, 52.452213406], [-1.831993164, 52.451546436], [-1.830102871, 52.453304019], [-1.827496141, 52.454984048], [-1.823982654, 52.457042125], [-1.819510284, 52.455964633], [-1.814909088, 52.455135003], [-1.813796342, 52.454502161], [-1.814237095, 52.451509138], [-1.813872312, 52.450780403], [-1.809810471, 52.446158448], [-1.809269402, 52.445379085]]]], ""type"": ""MultiPolygon""}","52.442835817, -1.823703438"
Acocks Green,E05011118,Economically active and a full-time student,In employment,Employee,295,1.58,"{""coordinates"": [[[[-1.809269402, 52.445379085], [-1.809558732, 52.444812262], [-1.811477454, 52.443377789], [-1.812276497, 52.4429979], [-1.811577626, 52.442329741], [-1.812421932, 52.441997557], [-1.811843487, 52.4413943], [-1.812016736, 52.440414673], [-1.813819707, 52.438118798], [-1.814565691, 52.437725239], [-1.816115863, 52.437805936], [-1.816733097, 52.435811947], [-1.816797322, 52.433803706], [-1.817125983, 52.432569875], [-1.818712819, 52.43117701], [-1.820402691, 52.430455914], [-1.825269657, 52.429290868], [-1.827543076, 52.429757235], [-1.832129644, 52.431091633], [-1.839009556, 52.434035502], [-1.835456486, 52.438231718], [-1.834525868, 52.439655293], [-1.833796522, 52.442309976], [-1.833275512, 52.443542681], [-1.832015343, 52.44532446], [-1.831798666, 52.446574666], [-1.83105358, 52.448290747], [-1.833443355, 52.448997129], [-1.833782226, 52.451214536], [-1.834492105, 52.452213406], [-1.831993164, 52.451546436], [-1.830102871, 52.453304019], [-1.827496141, 52.454984048], [-1.823982654, 52.457042125], [-1.819510284, 52.455964633], [-1.814909088, 52.455135003], [-1.813796342, 52.454502161], [-1.814237095, 52.451509138], [-1.813872312, 52.450780403], [-1.809810471, 52.446158448], [-1.809269402, 52.445379085]]]], ""type"": ""MultiPolygon""}","52.442835817, -1.823703438"
Acocks Green,E05011118,Economically inactive,Looking after home or family,,1597,8.53,"{""coordinates"": [[[[-1.809269402, 52.445379085], [-1.809558732, 52.444812262], [-1.811477454, 52.443377789], [-1.812276497, 52.4429979], [-1.811577626, 52.442329741], [-1.812421932, 52.441997557], [-1.811843487, 52.4413943], [-1.812016736, 52.440414673], [-1.813819707, 52.438118798], [-1.814565691, 52.437725239], [-1.816115863, 52.437805936], [-1.816733097, 52.435811947], [-1.816797322, 52.433803706], [-1.817125983, 52.432569875], [-1.818712819, 52.43117701], [-1.820402691, 52.430455914], [-1.825269657, 52.429290868], [-1.827543076, 52.429757235], [-1.832129644, 52.431091633], [-1.839009556, 52.434035502], [-1.835456486, 52.438231718], [-1.834525868, 52.439655293], [-1.833796522, 52.442309976], [-1.833275512, 52.443542681], [-1.832015343, 52.44532446], [-1.831798666, 52.446574666], [-1.83105358, 52.448290747], [-1.833443355, 52.448997129], [-1.833782226, 52.451214536], [-1.834492105, 52.452213406], [-1.831993164, 52.451546436], [-1.830102871, 52.453304019], [-1.827496141, 52.454984048], [-1.823982654, 52.457042125], [-1.819510284, 52.455964633], [-1.814909088, 52.455135003], [-1.813796342, 52.454502161], [-1.814237095, 52.451509138], [-1.813872312, 52.450780403], [-1.809810471, 52.446158448], [-1.809269402, 52.445379085]]]], ""type"": ""MultiPolygon""}","52.442835817, -1.823703438"
Allens Cross,E05011119,Economically active (excluding full-time students),In employment,Self-employed with employees,96,1.12,"{""coordinates"": [[[[-1.961818255, 52.421161548], [-1.96672591, 52.418233191], [-1.969589149, 52.417526462], [-1.97117761, 52.416789612], [-1.972301548, 52.415750656], [-1.973471369, 52.414112953], [-1.973427844, 52.413105086], [-1.972963929, 52.412131367], [-1.973548634, 52.410347032], [-1.975854998, 52.407906696], [-1.98128786, 52.40864752], [-1.981162444, 52.409727258], [-1.983523409, 52.409524397], [-1.983906762, 52.410615801], [-1.986920503, 52.410320477], [-1.989434385, 52.410353078], [-1.989209508, 52.409984391], [-1.990738519, 52.409574598], [-1.991232378, 52.409897375], [-1.994309367, 52.409003032], [-1.995120891, 52.408528436], [-1.998018255, 52.409491344], [-1.997805161, 52.409723308], [-1.99583797, 52.412300692], [-1.993251781, 52.413558287], [-1.99108173, 52.413544668], [-1.98886899, 52.414107281], [-1.987493918, 52.415681305], [-1.986043876, 52.416711381], [-1.98507197, 52.416793949], [-1.984527626, 52.417593137], [-1.983573231, 52.418130552], [-1.978788001, 52.419655425], [-1.975145447, 52.420381182], [-1.97842599, 52.423435673], [-1.979315496, 52.423594098], [-1.980038633, 52.424353843], [-1.980160394, 52.42510908], [-1.978292542, 52.425595068], [-1.97535955, 52.426759635], [-1.974736371, 52.425990807], [-1.972276764, 52.424816228], [-1.968742926, 52.42294632], [-1.968102199, 52.422368975], [-1.967951318, 52.421433967], [-1.966275139, 52.421318466], [-1.963739611, 52.42181302], [-1.961818255, 52.421161548]]]], ""type"": ""MultiPolygon""}","52.416004069, -1.978981517"
Allens Cross,E05011119,Economically active (excluding full-time students),In employment,Self-employed without employees,473,5.52,"{""coordinates"": [[[[-1.961818255, 52.421161548], [-1.96672591, 52.418233191], [-1.969589149, 52.417526462], [-1.97117761, 52.416789612], [-1.972301548, 52.415750656], [-1.973471369, 52.414112953], [-1.973427844, 52.413105086], [-1.972963929, 52.412131367], [-1.973548634, 52.410347032], [-1.975854998, 52.407906696], [-1.98128786, 52.40864752], [-1.981162444, 52.409727258], [-1.983523409, 52.409524397], [-1.983906762, 52.410615801], [-1.986920503, 52.410320477], [-1.989434385, 52.410353078], [-1.989209508, 52.409984391], [-1.990738519, 52.409574598], [-1.991232378, 52.409897375], [-1.994309367, 52.409003032], [-1.995120891, 52.408528436], [-1.998018255, 52.409491344], [-1.997805161, 52.409723308], [-1.99583797, 52.412300692], [-1.993251781, 52.413558287], [-1.99108173, 52.413544668], [-1.98886899, 52.414107281], [-1.987493918, 52.415681305], [-1.986043876, 52.416711381], [-1.98507197, 52.416793949], [-1.984527626, 52.417593137], [-1.983573231, 52.418130552], [-1.978788001, 52.419655425], [-1.975145447, 52.420381182], [-1.97842599, 52.423435673], [-1.979315496, 52.423594098], [-1.980038633, 52.424353843], [-1.980160394, 52.42510908], [-1.978292542, 52.425595068], [-1.97535955, 52.426759635], [-1.974736371, 52.425990807], [-1.972276764, 52.424816228], [-1.968742926, 52.42294632], [-1.968102199, 52.422368975], [-1.967951318, 52.421433967], [-1.966275139, 52.421318466], [-1.963739611, 52.42181302], [-1.961818255, 52.421161548]]]], ""type"": ""MultiPolygon""}","52.416004069, -1.978981517"
Allens Cross,E05011119,Economically active (excluding full-time students),Unemployed,,378,4.41,"{""coordinates"": [[[[-1.961818255, 52.421161548], [-1.96672591, 52.418233191], [-1.969589149, 52.417526462], [-1.97117761, 52.416789612], [-1.972301548, 52.415750656], [-1.973471369, 52.414112953], [-1.973427844, 52.413105086], [-1.972963929, 52.412131367], [-1.973548634, 52.410347032], [-1.975854998, 52.407906696], [-1.98128786, 52.40864752], [-1.981162444, 52.409727258], [-1.983523409, 52.409524397], [-1.983906762, 52.410615801], [-1.986920503, 52.410320477], [-1.989434385, 52.410353078], [-1.989209508, 52.409984391], [-1.990738519, 52.409574598], [-1.991232378, 52.409897375], [-1.994309367, 52.409003032], [-1.995120891, 52.408528436], [-1.998018255, 52.409491344], [-1.997805161, 52.409723308], [-1.99583797, 52.412300692], [-1.993251781, 52.413558287], [-1.99108173, 52.413544668], [-1.98886899, 52.414107281], [-1.987493918, 52.415681305], [-1.986043876, 52.416711381], [-1.98507197, 52.416793949], [-1.984527626, 52.417593137], [-1.983573231, 52.418130552], [-1.978788001, 52.419655425], [-1.975145447, 52.420381182], [-1.97842599, 52.423435673], [-1.979315496, 52.423594098], [-1.980038633, 52.424353843], [-1.980160394, 52.42510908], [-1.978292542, 52.425595068], [-1.97535955, 52.426759635], [-1.974736371, 52.425990807], [-1.972276764, 52.424816228], [-1.968742926, 52.42294632], [-1.968102199, 52.422368975], [-1.967951318, 52.421433967], [-1.966275139, 52.421318466], [-1.963739611, 52.42181302], [-1.961818255, 52.421161548]]]], ""type"": ""MultiPolygon""}","52.416004069, -1.978981517"
Allens Cross,E05011119,Economically active and a full-time student,In employment,Employee,117,1.37,"{""coordinates"": [[[[-1.961818255, 52.421161548], [-1.96672591, 52.418233191], [-1.969589149, 52.417526462], [-1.97117761, 52.416789612], [-1.972301548, 52.415750656], [-1.973471369, 52.414112953], [-1.973427844, 52.413105086], [-1.972963929, 52.412131367], [-1.973548634, 52.410347032], [-1.975854998, 52.407906696], [-1.98128786, 52.40864752], [-1.981162444, 52.409727258], [-1.983523409, 52.409524397], [-1.983906762, 52.410615801], [-1.986920503, 52.410320477], [-1.989434385, 52.410353078], [-1.989209508, 52.409984391], [-1.990738519, 52.409574598], [-1.991232378, 52.409897375], [-1.994309367, 52.409003032], [-1.995120891, 52.408528436], [-1.998018255, 52.409491344], [-1.997805161, 52.409723308], [-1.99583797, 52.412300692], [-1.993251781, 52.413558287], [-1.99108173, 52.413544668], [-1.98886899, 52.414107281], [-1.987493918, 52.415681305], [-1.986043876, 52.416711381], [-1.98507197, 52.416793949], [-1.984527626, 52.417593137], [-1.983573231, 52.418130552], [-1.978788001, 52.419655425], [-1.975145447, 52.420381182], [-1.97842599, 52.423435673], [-1.979315496, 52.423594098], [-1.980038633, 52.424353843], [-1.980160394, 52.42510908], [-1.978292542, 52.425595068], [-1.97535955, 52.426759635], [-1.974736371, 52.425990807], [-1.972276764, 52.424816228], [-1.968742926, 52.42294632], [-1.968102199, 52.422368975], [-1.967951318, 52.421433967], [-1.966275139, 52.421318466], [-1.963739611, 52.42181302], [-1.961818255, 52.421161548]]]], ""type"": ""MultiPolygon""}","52.416004069, -1.978981517"
Allens Cross,E05011119,Economically inactive,Long-term sick or disabled,,440,5.13,"{""coordinates"": [[[[-1.961818255, 52.421161548], [-1.96672591, 52.418233191], [-1.969589149, 52.417526462], [-1.97117761, 52.416789612], [-1.972301548, 52.415750656], [-1.973471369, 52.414112953], [-1.973427844, 52.413105086], [-1.972963929, 52.412131367], [-1.973548634, 52.410347032], [-1.975854998, 52.407906696], [-1.98128786, 52.40864752], [-1.981162444, 52.409727258], [-1.983523409, 52.409524397], [-1.983906762, 52.410615801], [-1.986920503, 52.410320477], [-1.989434385, 52.410353078], [-1.989209508, 52.409984391], [-1.990738519, 52.409574598], [-1.991232378, 52.409897375], [-1.994309367, 52.409003032], [-1.995120891, 52.408528436], [-1.998018255, 52.409491344], [-1.997805161, 52.409723308], [-1.99583797, 52.412300692], [-1.993251781, 52.413558287], [-1.99108173, 52.413544668], [-1.98886899, 52.414107281], [-1.987493918, 52.415681305], [-1.986043876, 52.416711381], [-1.98507197, 52.416793949], [-1.984527626, 52.417593137], [-1.983573231, 52.418130552], [-1.978788001, 52.419655425], [-1.975145447, 52.420381182], [-1.97842599, 52.423435673], [-1.979315496, 52.423594098], [-1.980038633, 52.424353843], [-1.980160394, 52.42510908], [-1.978292542, 52.425595068], [-1.97535955, 52.426759635], [-1.974736371, 52.425990807], [-1.972276764, 52.424816228], [-1.968742926, 52.42294632], [-1.968102199, 52.422368975], [-1.967951318, 52.421433967], [-1.966275139, 52.421318466], [-1.963739611, 52.42181302], [-1.961818255, 52.421161548]]]], ""type"": ""MultiPolygon""}","52.416004069, -1.978981517"
Alum Rock,E05011120,Economically active (excluding full-time students),In employment,Self-employed with employees,246,1.24,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically active and a full-time student,In employment,Self-employed with employees,7,0.04,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically active and a full-time student,In employment,Self-employed without employees,39,0.2,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically inactive,Looking after home or family,,3669,18.51,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
Alum Rock,E05011120,Economically inactive,Other,,1828,9.22,"{""coordinates"": [[[[-1.831908795, 52.489595503], [-1.831746506, 52.488113793], [-1.830641623, 52.486670193], [-1.830861462, 52.485035252], [-1.848940875, 52.483585294], [-1.866905683, 52.482141432], [-1.866934113, 52.484916679], [-1.865530826, 52.488299833], [-1.864983302, 52.491565224], [-1.86389424, 52.493670349], [-1.862771003, 52.494936633], [-1.860839091, 52.49663533], [-1.857371907, 52.498851718], [-1.854061942, 52.497971152], [-1.852412699, 52.497372169], [-1.848208858, 52.495218251], [-1.845345466, 52.493937085], [-1.831908795, 52.489595503]]]], ""type"": ""MultiPolygon""}","52.48925735, -1.851278773"
