2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 001A,E01009417,1614,100,200,12.4,0,0,18,1.1,156,9.7,12,0.7,14,0.9,31,1.9,5,0.3,14,0.9,12,0.7,45,2.8,15,0.9,0,0,26,1.6,4,0.2,1302,80.7,1239,76.8,24,1.5,1,0.1,1,0.1,37,2.3,36,2.2,5,0.3,31,1.9
Birmingham 001B,E01009418,1581,100,169,10.7,16,1,11,0.7,70,4.4,42,2.7,30,1.9,31,2,17,1.1,10,0.6,4,0.3,102,6.5,41,2.6,1,0.1,48,3,12,0.8,1258,79.6,1223,77.4,13,0.8,0,0,0,0,22,1.4,21,1.3,0,0,21,1.3
Birmingham 001C,E01009419,1464,100,205,14,4,0.3,24,1.6,119,8.1,39,2.7,19,1.3,22,1.5,15,1,7,0.5,0,0,36,2.5,11,0.8,2,0.1,11,0.8,12,0.8,1161,79.3,1122,76.6,19,1.3,6,0.4,0,0,14,1,40,2.7,2,0.1,38,2.6
Birmingham 001D,E01009433,1785,100,275,15.4,5,0.3,24,1.3,172,9.6,33,1.8,41,2.3,50,2.8,13,0.7,30,1.7,7,0.4,40,2.2,17,1,2,0.1,14,0.8,7,0.4,1356,76,1300,72.8,19,1.1,0,0,0,0,37,2.1,64,3.6,20,1.1,44,2.5
Birmingham 002A,E01009415,1746,100,216,12.4,11,0.6,19,1.1,139,8,27,1.5,20,1.1,25,1.4,7,0.4,12,0.7,6,0.3,48,2.7,16,0.9,0,0,19,1.1,13,0.7,1435,82.2,1392,79.7,17,1,0,0,0,0,26,1.5,22,1.3,9,0.5,13,0.7
Birmingham 002B,E01009422,2000,100,163,8.2,0,0,24,1.2,82,4.1,38,1.9,19,0.9,32,1.6,16,0.8,13,0.7,3,0.1,43,2.1,17,0.9,0,0,20,1,6,0.3,1753,87.6,1683,84.2,32,1.6,0,0,0,0,38,1.9,9,0.4,0,0,9,0.4
Birmingham 002C,E01009423,1673,100,148,8.8,10,0.6,22,1.3,61,3.6,46,2.7,9,0.5,58,3.5,16,1,37,2.2,5,0.3,65,3.9,20,1.2,0,0,30,1.8,15,0.9,1378,82.4,1323,79.1,27,1.6,0,0,0,0,28,1.7,24,1.4,5,0.3,19,1.1
Birmingham 002D,E01009425,1723,100,127,7.4,0,0,15,0.9,77,4.5,15,0.9,20,1.2,17,1,8,0.5,8,0.5,1,0.1,39,2.3,19,1.1,1,0.1,14,0.8,5,0.3,1521,88.3,1461,84.8,22,1.3,0,0,0,0,38,2.2,19,1.1,0,0,19,1.1
Birmingham 003A,E01009416,2794,100,403,14.4,10,0.4,56,2,246,8.8,55,2,36,1.3,73,2.6,30,1.1,35,1.3,8,0.3,81,2.9,12,0.4,4,0.1,48,1.7,17,0.6,2171,77.7,2090,74.8,23,0.8,0,0,1,0,57,2,66,2.4,13,0.5,53,1.9
Birmingham 003B,E01009420,1702,100,223,13.1,4,0.2,30,1.8,141,8.3,39,2.3,9,0.5,26,1.5,6,0.4,18,1.1,2,0.1,49,2.9,15,0.9,7,0.4,19,1.1,8,0.5,1395,82,1346,79.1,16,0.9,0,0,0,0,33,1.9,9,0.5,1,0.1,8,0.5
Birmingham 003C,E01009426,1478,100,186,12.6,16,1.1,13,0.9,114,7.7,33,2.2,10,0.7,17,1.2,4,0.3,8,0.5,5,0.3,34,2.3,14,0.9,5,0.3,11,0.7,4,0.3,1213,82.1,1176,79.6,20,1.4,0,0,0,0,17,1.2,28,1.9,11,0.7,17,1.2
Birmingham 003D,E01009429,1498,100,129,8.6,1,0.1,1,0.1,94,6.3,20,1.3,13,0.9,30,2,20,1.3,4,0.3,6,0.4,35,2.3,15,1,1,0.1,10,0.7,9,0.6,1268,84.6,1227,81.9,16,1.1,1,0.1,5,0.3,19,1.3,36,2.4,18,1.2,18,1.2
