2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 001A,E01009417,637,100,349,54.8,149,23.4,123,19.3,14,2.2,2,0.3
Birmingham 001B,E01009418,642,100,304,47.4,185,28.8,128,19.9,21,3.3,4,0.6
Birmingham 001C,E01009419,599,100,344,57.4,140,23.4,105,17.5,10,1.7,0,0
Birmingham 001D,E01009433,755,100,556,73.6,147,19.5,47,6.2,3,0.4,2,0.3
Birmingham 002A,E01009415,684,100,463,67.7,177,25.9,38,5.6,5,0.7,1,0.1
Birmingham 002B,E01009422,852,100,458,53.8,256,30,119,14,13,1.5,6,0.7
Birmingham 002C,E01009423,756,100,300,39.7,246,32.5,187,24.7,19,2.5,4,0.5
Birmingham 002D,E01009425,838,100,413,49.3,248,29.6,158,18.9,17,2,2,0.2
Birmingham 003A,E01009416,1066,100,732,68.7,209,19.6,102,9.6,20,1.9,3,0.3
Birmingham 003B,E01009420,650,100,418,64.3,154,23.7,72,11.1,5,0.8,1,0.2
Birmingham 003C,E01009426,613,100,473,77.2,109,17.8,26,4.2,4,0.7,1,0.2
Birmingham 003D,E01009429,579,100,437,75.5,106,18.3,26,4.5,10,1.7,0,0
Birmingham 003E,E01009431,664,100,448,67.5,152,22.9,58,8.7,4,0.6,2,0.3
Birmingham 004A,E01009421,651,100,527,81,90,13.8,28,4.3,4,0.6,2,0.3
Birmingham 004B,E01009424,722,100,388,53.7,154,21.3,151,20.9,29,4,0,0
Birmingham 004C,E01009427,682,100,357,52.3,206,30.2,110,16.1,8,1.2,1,0.1
Birmingham 004D,E01009428,639,100,541,84.7,69,10.8,24,3.8,5,0.8,0,0
Birmingham 004E,E01009430,685,100,554,80.9,69,10.1,39,5.7,20,2.9,3,0.4
Birmingham 004F,E01009468,608,100,454,74.7,83,13.7,60,9.9,11,1.8,0,0
Birmingham 005A,E01009445,792,100,214,27,199,25.1,276,34.8,93,11.7,10,1.3
Birmingham 005B,E01009446,1009,100,515,51,273,27.1,171,16.9,47,4.7,3,0.3
Birmingham 005C,E01009447,632,100,354,56,163,25.8,93,14.7,21,3.3,1,0.2
Birmingham 005D,E01009448,675,100,309,45.8,180,26.7,147,21.8,30,4.4,9,1.3
Birmingham 005E,E01009452,693,100,383,55.3,158,22.8,113,16.3,30,4.3,9,1.3
Birmingham 005F,E01009455,694,100,173,24.9,180,25.9,318,45.8,21,3,2,0.3
Birmingham 006A,E01009432,648,100,358,55.2,126,19.4,141,21.8,20,3.1,3,0.5
Birmingham 006B,E01009435,708,100,478,67.5,144,20.3,76,10.7,10,1.4,0,0
Birmingham 006C,E01009437,821,100,452,55.1,154,18.8,204,24.8,9,1.1,2,0.2
Birmingham 006D,E01009444,605,100,428,70.7,146,24.1,25,4.1,6,1,0,0
Birmingham 006E,E01009454,650,100,332,51.1,160,24.6,129,19.8,28,4.3,1,0.2
Birmingham 007A,E01009221,594,100,344,57.9,144,24.2,66,11.1,35,5.9,5,0.8
Birmingham 007B,E01009464,543,100,375,69.1,108,19.9,54,9.9,4,0.7,2,0.4
Birmingham 007C,E01009465,499,100,368,73.7,95,19,30,6,5,1,1,0.2
Birmingham 007D,E01009467,658,100,395,60,151,22.9,99,15,13,2,0,0
Birmingham 008A,E01009220,620,100,261,42.1,176,28.4,136,21.9,42,6.8,5,0.8
Birmingham 008B,E01009222,581,100,199,34.3,177,30.5,155,26.7,38,6.5,12,2.1
Birmingham 008C,E01009224,594,100,353,59.4,164,27.6,63,10.6,11,1.9,3,0.5
Birmingham 008D,E01009233,620,100,192,31,188,30.3,175,28.2,50,8.1,15,2.4
Birmingham 009A,E01009449,1111,100,384,34.6,396,35.6,293,26.4,35,3.2,3,0.3
Birmingham 009B,E01009451,640,100,308,48.1,143,22.3,156,24.4,31,4.8,2,0.3
Birmingham 009C,E01009453,523,100,394,75.3,85,16.3,32,6.1,11,2.1,1,0.2
Birmingham 009D,E01009466,657,100,436,66.4,155,23.6,62,9.4,4,0.6,0,0
Birmingham 009E,E01009471,727,100,435,59.8,168,23.1,101,13.9,22,3,1,0.1
Birmingham 010A,E01009135,596,100,414,69.5,88,14.8,88,14.8,5,0.8,1,0.2
Birmingham 010B,E01009469,587,100,443,75.5,92,15.7,41,7,9,1.5,2,0.3
Birmingham 010C,E01009470,532,100,464,87.2,41,7.7,18,3.4,7,1.3,2,0.4
Birmingham 010D,E01009472,662,100,453,68.4,133,20.1,71,10.7,4,0.6,1,0.2
Birmingham 010E,E01009473,689,100,433,62.8,118,17.1,123,17.9,13,1.9,2,0.3
Birmingham 010F,E01009474,638,100,435,68.2,106,16.6,80,12.5,16,2.5,1,0.2
Birmingham 011A,E01009127,573,100,195,34,169,29.5,155,27.1,43,7.5,11,1.9
Birmingham 011B,E01009128,522,100,205,39.3,131,25.1,129,24.7,42,8,15,2.9
Birmingham 011C,E01009130,602,100,212,35.2,145,24.1,174,28.9,58,9.6,13,2.2
Birmingham 011D,E01009131,506,100,175,34.6,138,27.3,126,24.9,51,10.1,16,3.2
Birmingham 011E,E01009133,600,100,210,35,147,24.5,199,33.2,38,6.3,6,1
Birmingham 011F,E01009134,656,100,246,37.5,155,23.6,201,30.6,45,6.9,9,1.4
