2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 001A,E01009417,1273,100,769,60.4,741,58.2,615,48.3,142,11.2,473,37.2,28,2.2,4,0.3,24,1.9,98,7.7,42,3.3,56,4.4,28,2.2,22,1.7,15,1.2,14,1.1,11,0.9,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,7,0.5,482,37.9,312,24.5,60,4.7,52,4.1,38,3,20,1.6
Birmingham 001B,E01009418,1238,100,668,54,627,50.6,511,41.3,129,10.4,382,30.9,17,1.4,3,0.2,14,1.1,99,8,31,2.5,68,5.5,41,3.3,30,2.4,10,0.8,10,0.8,9,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20,1.6,540,43.6,350,28.3,69,5.6,44,3.6,41,3.3,36,2.9
Birmingham 001C,E01009419,1190,100,647,54.4,622,52.3,516,43.4,129,10.8,387,32.5,27,2.3,8,0.7,19,1.6,79,6.6,40,3.4,39,3.3,25,2.1,25,2.1,23,1.9,21,1.8,20,1.7,1,0.1,0,0,0,0,0,0,2,0.2,2,0.2,0,0,2,0.2,518,43.5,329,27.6,58,4.9,52,4.4,53,4.5,26,2.2
Birmingham 001D,E01009433,1486,100,796,53.6,776,52.2,636,42.8,155,10.4,481,32.4,30,2,1,0.1,29,2,110,7.4,49,3.3,61,4.1,20,1.3,19,1.3,17,1.1,16,1.1,15,1,1,0.1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,2,0.1,671,45.2,521,35.1,66,4.4,42,2.8,18,1.2,24,1.6
Birmingham 002A,E01009415,1388,100,787,56.7,759,54.7,620,44.7,173,12.5,447,32.2,45,3.2,6,0.4,39,2.8,94,6.8,42,3,52,3.7,28,2,21,1.5,14,1,12,0.9,11,0.8,1,0.1,0,0,0,0,0,0,2,0.1,1,0.1,1,0.1,7,0.5,580,41.8,442,31.8,62,4.5,46,3.3,15,1.1,15,1.1
Birmingham 002B,E01009422,1648,100,955,57.9,916,55.6,753,45.7,192,11.7,561,34,31,1.9,6,0.4,25,1.5,132,8,63,3.8,69,4.2,39,2.4,37,2.2,23,1.4,22,1.3,19,1.2,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,14,0.8,656,39.8,479,29.1,76,4.6,46,2.8,26,1.6,29,1.8
Birmingham 002C,E01009423,1351,100,743,55,704,52.1,571,42.3,141,10.4,430,31.8,21,1.6,9,0.7,12,0.9,112,8.3,56,4.1,56,4.1,39,2.9,14,1,8,0.6,7,0.5,3,0.2,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,6,0.4,594,44,363,26.9,65,4.8,60,4.4,75,5.6,31,2.3
Birmingham 002D,E01009425,1473,100,683,46.4,664,45.1,539,36.6,160,10.9,379,25.7,39,2.6,5,0.3,34,2.3,86,5.8,43,2.9,43,2.9,19,1.3,15,1,10,0.7,10,0.7,9,0.6,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,775,52.6,578,39.2,74,5,39,2.6,51,3.5,33,2.2
Birmingham 003A,E01009416,2118,100,1432,67.6,1382,65.3,1151,54.3,280,13.2,871,41.1,44,2.1,9,0.4,35,1.7,187,8.8,87,4.1,100,4.7,50,2.4,40,1.9,34,1.6,30,1.4,28,1.3,2,0.1,1,0,1,0,0,0,3,0.1,1,0,2,0.1,6,0.3,646,30.5,394,18.6,104,4.9,74,3.5,32,1.5,42,2
Birmingham 003B,E01009420,1268,100,831,65.5,792,62.5,694,54.7,172,13.6,522,41.2,21,1.7,5,0.4,16,1.3,77,6.1,23,1.8,54,4.3,39,3.1,14,1.1,12,0.9,11,0.9,8,0.6,3,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,2,0.2,423,33.4,286,22.6,60,4.7,28,2.2,23,1.8,26,2.1
