2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,% Level 4 qualifications or above  ,Other qualifications,%
Birmingham 001A,E01009417,1273,100,158,12.4,100,7.9,185,14.5,52,4.1,216,17,549,43.1,13,1
Birmingham 001B,E01009418,1239,100,178,14.4,116,9.4,197,15.9,58,4.7,198,16,470,37.9,22,1.8
Birmingham 001C,E01009419,1190,100,210,17.6,103,8.7,155,13,49,4.1,174,14.6,467,39.2,32,2.7
Birmingham 001D,E01009433,1482,100,184,12.4,107,7.2,182,12.3,56,3.8,222,15,678,45.7,53,3.6
Birmingham 002A,E01009415,1388,100,159,11.5,104,7.5,164,11.8,51,3.7,214,15.4,660,47.6,36,2.6
Birmingham 002B,E01009422,1648,100,212,12.9,124,7.5,224,13.6,68,4.1,257,15.6,719,43.6,44,2.7
Birmingham 002C,E01009423,1350,100,289,21.4,117,8.7,200,14.8,59,4.4,194,14.4,451,33.4,40,3
Birmingham 002D,E01009425,1471,100,263,17.9,124,8.4,196,13.3,70,4.8,194,13.2,586,39.8,38,2.6
Birmingham 003A,E01009416,2119,100,186,8.8,170,8,306,14.4,92,4.3,382,18,943,44.5,40,1.9
Birmingham 003B,E01009420,1272,100,161,12.7,93,7.3,172,13.5,63,5,184,14.5,571,44.9,28,2.2
Birmingham 003C,E01009426,1221,100,152,12.4,92,7.5,149,12.2,50,4.1,205,16.8,540,44.2,33,2.7
Birmingham 003D,E01009429,1195,100,127,10.6,81,6.8,153,12.8,51,4.3,172,14.4,581,48.6,30,2.5
Birmingham 003E,E01009431,1328,100,124,9.3,90,6.8,166,12.5,58,4.4,203,15.3,665,50.1,22,1.7
Birmingham 004A,E01009421,1441,100,171,11.9,87,6,161,11.2,53,3.7,222,15.4,719,49.9,28,1.9
Birmingham 004B,E01009424,1330,100,164,12.3,95,7.1,142,10.7,48,3.6,217,16.3,644,48.4,20,1.5
Birmingham 004C,E01009427,1279,100,143,11.2,95,7.4,154,12,46,3.6,181,14.2,628,49.1,32,2.5
Birmingham 004D,E01009428,1362,100,122,9,108,7.9,174,12.8,61,4.5,187,13.7,684,50.2,26,1.9
Birmingham 004E,E01009430,1449,100,150,10.4,113,7.8,154,10.6,45,3.1,218,15,742,51.2,27,1.9
Birmingham 004F,E01009468,1262,100,156,12.4,87,6.9,130,10.3,51,4,203,16.1,599,47.5,36,2.9
Birmingham 005A,E01009445,1379,100,320,23.2,168,12.2,223,16.2,64,4.6,246,17.8,331,24,27,2
Birmingham 005B,E01009446,1960,100,309,15.8,147,7.5,262,13.4,92,4.7,333,17,776,39.6,41,2.1
Birmingham 005C,E01009447,1266,100,221,17.5,143,11.3,173,13.7,73,5.8,236,18.6,388,30.6,32,2.5
Birmingham 005D,E01009448,1305,100,298,22.8,149,11.4,181,13.9,77,5.9,207,15.9,350,26.8,43,3.3
Birmingham 005E,E01009452,1356,100,245,18.1,140,10.3,199,14.7,64,4.7,234,17.3,444,32.7,30,2.2
Birmingham 005F,E01009455,1064,100,249,23.4,132,12.4,145,13.6,61,5.7,177,16.6,268,25.2,32,3
Birmingham 006A,E01009432,1206,100,200,16.6,110,9.1,148,12.3,62,5.1,181,15,480,39.8,25,2.1
Birmingham 006B,E01009435,1420,100,159,11.2,120,8.5,207,14.6,48,3.4,251,17.7,624,43.9,11,0.8
Birmingham 006C,E01009437,1513,100,260,17.2,118,7.8,187,12.4,73,4.8,220,14.5,615,40.6,40,2.6
Birmingham 006D,E01009444,1238,100,144,11.6,108,8.7,148,12,72,5.8,187,15.1,554,44.7,25,2
Birmingham 006E,E01009454,1209,100,163,13.5,113,9.3,161,13.3,58,4.8,192,15.9,489,40.4,33,2.7
Birmingham 007A,E01009221,1220,100,277,22.7,148,12.1,189,15.5,78,6.4,236,19.3,267,21.9,25,2
Birmingham 007B,E01009464,1173,100,167,14.2,97,8.3,164,14,76,6.5,240,20.5,404,34.4,25,2.1
Birmingham 007C,E01009465,1134,100,165,14.6,83,7.3,152,13.4,77,6.8,199,17.5,434,38.3,24,2.1
Birmingham 007D,E01009467,1283,100,235,18.3,118,9.2,149,11.6,97,7.6,201,15.7,445,34.7,38,3
Birmingham 008A,E01009220,1199,100,281,23.4,162,13.5,180,15,71,5.9,219,18.3,253,21.1,33,2.8
Birmingham 008B,E01009222,1150,100,286,24.9,151,13.1,196,17,50,4.3,198,17.2,247,21.5,22,1.9
Birmingham 008C,E01009224,1145,100,272,23.8,140,12.2,161,14.1,82,7.2,213,18.6,251,21.9,26,2.3
Birmingham 008D,E01009233,1153,100,341,29.6,146,12.7,176,15.3,73,6.3,169,14.7,217,18.8,31,2.7
Birmingham 009A,E01009449,1859,100,260,14,127,6.8,229,12.3,45,2.4,287,15.4,873,47,38,2
Birmingham 009B,E01009451,1117,100,177,15.8,95,8.5,142,12.7,43,3.8,172,15.4,468,41.9,20,1.8
Birmingham 009C,E01009453,1097,100,127,11.6,101,9.2,154,14,44,4,160,14.6,481,43.8,30,2.7
Birmingham 009D,E01009466,1368,100,172,12.6,76,5.6,168,12.3,44,3.2,174,12.7,701,51.2,33,2.4
Birmingham 009E,E01009471,1531,100,191,12.5,116,7.6,197,12.9,46,3,195,12.7,744,48.6,42,2.7
Birmingham 010A,E01009135,1201,100,237,19.7,142,11.8,108,9,46,3.8,183,15.2,448,37.3,37,3.1
Birmingham 010B,E01009469,1193,100,182,15.3,98,8.2,165,13.8,46,3.9,172,14.4,497,41.7,33,2.8
Birmingham 010C,E01009470,1177,100,118,10,84,7.1,141,12,44,3.7,223,18.9,537,45.6,30,2.5
Birmingham 010D,E01009472,1340,100,183,13.7,116,8.7,160,11.9,70,5.2,209,15.6,575,42.9,27,2
Birmingham 010E,E01009473,1280,100,251,19.6,89,7,163,12.7,65,5.1,204,15.9,475,37.1,33,2.6
Birmingham 010F,E01009474,1267,100,184,14.5,87,6.9,147,11.6,52,4.1,197,15.5,578,45.6,22,1.7
Birmingham 011A,E01009127,1146,100,353,30.8,143,12.5,171,14.9,55,4.8,174,15.2,214,18.7,36,3.1
Birmingham 011B,E01009128,1027,100,333,32.4,119,11.6,163,15.9,48,4.7,157,15.3,191,18.6,16,1.6
Birmingham 011C,E01009130,1118,100,371,33.2,142,12.7,167,14.9,57,5.1,163,14.6,190,17,28,2.5
Birmingham 011D,E01009131,1100,100,364,33.1,128,11.6,172,15.6,62,5.6,156,14.2,189,17.2,29,2.6
Birmingham 011E,E01009133,1133,100,357,31.5,134,11.8,196,17.3,47,4.1,156,13.8,210,18.5,33,2.9
Birmingham 011F,E01009134,1271,100,410,32.3,159,12.5,193,15.2,59,4.6,166,13.1,247,19.4,37,2.9
Birmingham 011G,E01009137,1206,100,364,30.2,141,11.7,159,13.2,40,3.3,223,18.5,236,19.6,43,3.6
Birmingham 012A,E01009434,1367,100,126,9.2,131,9.6,205,15,51,3.7,241,17.6,596,43.6,17,1.2
Birmingham 012B,E01009436,1174,100,151,12.9,82,7,179,15.2,52,4.4,208,17.7,476,40.5,26,2.2
Birmingham 012C,E01009438,1132,100,180,15.9,106,9.4,151,13.3,55,4.9,187,16.5,427,37.7,26,2.3
Birmingham 012D,E01009440,1332,100,265,19.9,102,7.7,151,11.3,73,5.5,232,17.4,454,34.1,55,4.1
Birmingham 012E,E01009450,1333,100,224,16.8,158,11.9,199,14.9,82,6.2,241,18.1,402,30.2,27,2
Birmingham 013A,E01009223,1312,100,354,27,134,10.2,183,13.9,78,5.9,214,16.3,311,23.7,38,2.9
