
"RM098 - Occupancy rating (bedrooms) by household composition"
"ONS Crown Copyright Reserved [from Nomis on 9 October 2024]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"
"Occupancy rating for bedrooms:","Total"

"2021 super output area - middle layer","mnemonic","Total","One-person household","One-person household: Aged 66 years and over","One-person household: Other","Single family household","Single family household: All aged 66 years and over","Single family household: Married or civil partnership couple","Single family household: Married or civil partnership couple: No children","Single family household: Married or civil partnership couple: Dependent children","Single family household: Married or civil partnership couple: All children non-dependent","Single family household: Cohabiting couple family","Single family household: Cohabiting couple family: No children","Single family household: Cohabiting couple family: With dependent children","Single family household: Cohabiting couple family: All children non-dependent","Single family household: Lone parent family","Single family household: Lone parent family: With dependent children","Single family household: Lone parent family: All children non-dependent","Single family household: Other single family household: Other family composition","Other household types","Other household types: With dependent children","Other household types: Other, including all full-time students and all aged 66 years and over"

"Birmingham 001","E02001827",2630,736,455,281,1780,345,976,246,539,191,189,96,74,19,257,158,99,13,114,64,50
"Birmingham 002","E02001828",3124,1048,621,427,1965,446,1018,281,546,191,236,123,98,15,253,162,91,12,111,50,61
"Birmingham 003","E02001829",3567,825,478,347,2607,471,1533,374,910,249,292,148,123,21,305,184,121,6,135,77,58
"Birmingham 004","E02001830",3987,1034,562,472,2766,670,1543,479,733,331,313,194,100,19,222,121,101,18,187,94,93
"Birmingham 005","E02001831",4493,1418,641,777,2869,322,1288,342,681,265,457,209,208,40,768,469,299,34,206,99,107
"Birmingham 006","E02001832",3436,1035,530,505,2261,457,1203,347,579,277,317,182,112,23,273,167,106,11,140,66,74
"Birmingham 007","E02001833",2292,502,290,212,1649,280,882,266,396,220,207,72,108,27,266,151,115,14,141,76,65
"Birmingham 008","E02001834",2402,662,278,384,1594,135,645,184,312,149,296,108,151,37,493,312,181,25,146,78,68
"Birmingham 009","E02001835",3654,1259,514,745,2240,316,1193,340,628,225,432,266,131,35,285,175,110,14,155,56,99
"Birmingham 010","E02001836",3699,960,533,427,2532,507,1381,414,671,296,343,183,130,30,281,158,123,20,207,101,106
"Birmingham 011","E02001837",4037,1195,445,750,2492,141,958,242,482,234,436,143,232,61,896,584,312,61,350,190,160
"Birmingham 012","E02001838",3163,840,466,374,2198,431,1213,402,548,263,315,182,121,12,229,118,111,10,125,53,72
"Birmingham 013","E02001839",2822,971,447,524,1690,197,734,219,337,178,314,149,150,15,424,270,154,21,161,83,78
"Birmingham 014","E02001840",3811,1292,494,798,2242,158,854,217,446,191,359,142,189,28,834,554,280,37,277,163,114
"Birmingham 015","E02001841",2384,569,362,207,1682,443,933,282,429,222,151,80,60,11,142,67,75,13,133,71,62
"Birmingham 016","E02001842",3176,848,370,478,2083,244,1025,295,499,231,288,138,126,24,494,279,215,32,245,126,119
"Birmingham 017","E02001843",2842,906,428,478,1762,224,747,247,332,168,331,141,169,21,437,283,154,23,174,72,102
"Birmingham 018","E02001844",4428,1788,790,998,2416,361,1210,425,538,247,423,259,133,31,399,234,165,23,224,89,135
"Birmingham 019","E02001845",2726,789,312,477,1786,177,804,196,419,189,332,135,175,22,447,286,161,26,151,83,68
"Birmingham 020","E02001846",3288,1102,397,705,1915,149,796,216,415,165,348,156,156,36,596,393,203,26,271,147,124
"Birmingham 021","E02001847",2353,658,354,304,1592,308,794,252,368,174,243,125,93,25,234,136,98,13,103,52,51
"Birmingham 022","E02001848",2597,661,216,445,1724,126,694,157,397,140,233,75,133,25,623,449,174,48,212,129,83
"Birmingham 023","E02001849",3726,1307,339,968,2161,113,739,220,422,97,463,220,218,25,794,608,186,52,258,90,168
"Birmingham 024","E02001850",3031,790,361,429,1880,198,997,209,575,213,202,75,106,21,437,245,192,46,361,222,139
"Birmingham 025","E02001851",3852,1299,528,771,2320,221,1014,347,461,206,451,210,202,39,599,383,216,35,233,131,102
"Birmingham 026","E02001852",2856,1022,376,646,1519,141,681,179,363,139,245,118,99,28,410,266,144,42,315,150,165
"Birmingham 029","E02001855",4211,1482,589,893,2478,217,757,223,311,223,431,148,222,61,1030,679,351,43,251,150,101
"Birmingham 030","E02001856",3611,1113,269,844,2031,109,959,238,552,169,302,136,153,13,598,372,226,63,467,195,272
"Birmingham 031","E02001857",5574,2207,483,1724,2754,161,1088,301,580,207,509,283,189,37,901,562,339,95,613,254,359
"Birmingham 032","E02001858",3231,1335,313,1022,1510,88,770,190,413,167,155,83,64,8,456,312,144,41,386,219,167
