Count,Geog_Code,Total: All usual residents,% Total: All usual residents,"Asian, Asian British or Asian Welsh","% Asian, Asian British or Asian Welsh","Asian, Asian British or Asian Welsh: Bangladeshi","% Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","% Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","% Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","% Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","% Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African","% Black, Black British, Black Welsh, Caribbean or African","Black, Black British, Black Welsh, Caribbean or African: African","% Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","% Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black","% Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups,% Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,% Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,% Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,% Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,% Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,White,% White,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,% White: Irish,White: Gypsy or Irish Traveller,% White: Gypsy or Irish Traveller,White: Roma,% White: Roma,White: Other White,% White: Other White,Other ethnic group,% Other ethnic group,Other ethnic group: Arab,% Other ethnic group: Arab,Other ethnic group: Any other ethnic group,% Other ethnic group: Any other ethnic group
Birmingham 001,E02001827,6450,100,850,13.2,24,0.4,78,1.2,517,8,126,2,105,1.6,134,2.1,50,0.8,64,1,20,0.3,226,3.5,87,1.3,5,0.1,99,1.5,35,0.5,5078,78.7,4884,75.7,75,1.2,7,0.1,1,0,111,1.7,162,2.5,26,0.4,136,2.1
Birmingham 002,E02001828,7141,100,653,9.1,20,0.3,80,1.1,359,5,126,1.8,68,1,134,1.9,47,0.7,71,1,16,0.2,196,2.7,70,1,3,0,83,1.2,40,0.6,6083,85.2,5859,82,96,1.3,0,0,0,0,128,1.8,75,1.1,15,0.2,60,0.8
Birmingham 003,E02001829,9160,100,1160,12.7,38,0.4,142,1.6,723,7.9,177,1.9,80,0.9,164,1.8,62,0.7,81,0.9,21,0.2,247,2.7,69,0.8,27,0.3,100,1.1,51,0.6,7410,80.9,7140,77.9,94,1,1,0,6,0.1,169,1.8,179,2,47,0.5,132,1.4
Birmingham 004,E02001830,9686,100,1374,14.2,48,0.5,102,1.1,927,9.6,220,2.3,77,0.8,184,1.9,69,0.7,81,0.8,34,0.4,242,2.5,98,1,13,0.1,88,0.9,43,0.4,7724,79.7,7275,75.1,176,1.8,2,0,1,0,270,2.8,162,1.7,40,0.4,122,1.3
Birmingham 005,E02001831,10682,100,819,7.7,43,0.4,87,0.8,376,3.5,190,1.8,123,1.2,495,4.6,170,1.6,250,2.3,75,0.7,559,5.2,111,1,19,0.2,352,3.3,77,0.7,8670,81.2,8187,76.6,144,1.3,0,0,0,0,339,3.2,139,1.3,47,0.4,92,0.9
Birmingham 006,E02001832,7929,100,596,7.5,14,0.2,80,1,300,3.8,129,1.6,73,0.9,223,2.8,88,1.1,107,1.3,28,0.4,263,3.3,74,0.9,14,0.2,135,1.7,40,0.5,6713,84.7,6353,80.1,145,1.8,1,0,2,0,212,2.7,134,1.7,22,0.3,112,1.4
Birmingham 007,E02001833,5936,100,832,14,32,0.5,60,1,494,8.3,187,3.2,59,1,266,4.5,76,1.3,153,2.6,37,0.6,250,4.2,51,0.9,16,0.3,115,1.9,68,1.1,4473,75.4,4271,72,82,1.4,0,0,1,0,119,2,115,1.9,12,0.2,103,1.7
Birmingham 008,E02001834,6108,100,443,7.3,66,1.1,30,0.5,178,2.9,108,1.8,61,1,435,7.1,141,2.3,218,3.6,76,1.2,293,4.8,64,1,14,0.2,161,2.6,54,0.9,4851,79.4,4585,75.1,79,1.3,1,0,0,0,186,3,86,1.4,13,0.2,73,1.2
Birmingham 009,E02001835,8475,100,684,8.1,41,0.5,91,1.1,285,3.4,186,2.2,81,1,185,2.2,71,0.8,97,1.1,17,0.2,317,3.7,106,1.3,16,0.2,117,1.4,78,0.9,7147,84.3,6666,78.7,189,2.2,2,0,8,0.1,282,3.3,142,1.7,53,0.6,89,1.1
Birmingham 010,E02001836,9105,100,1356,14.9,71,0.8,119,1.3,761,8.4,264,2.9,141,1.5,409,4.5,71,0.8,279,3.1,59,0.6,332,3.6,81,0.9,20,0.2,152,1.7,79,0.9,6811,74.8,6323,69.4,250,2.7,0,0,5,0.1,233,2.6,197,2.2,56,0.6,141,1.5
Birmingham 011,E02001837,10667,100,1096,10.3,230,2.2,99,0.9,195,1.8,354,3.3,218,2,1197,11.2,547,5.1,470,4.4,180,1.7,501,4.7,93,0.9,37,0.3,298,2.8,73,0.7,7677,72,6962,65.3,164,1.5,13,0.1,9,0.1,529,5,196,1.8,33,0.3,163,1.5
Birmingham 012,E02001838,7571,100,651,8.6,16,0.2,99,1.3,386,5.1,90,1.2,60,0.8,163,2.2,65,0.9,69,0.9,29,0.4,156,2.1,48,0.6,8,0.1,64,0.8,36,0.5,6483,85.6,6179,81.6,151,2,5,0.1,1,0,147,1.9,118,1.6,50,0.7,68,0.9
Birmingham 013,E02001839,6442,100,795,12.3,81,1.3,53,0.8,422,6.6,150,2.3,89,1.4,539,8.4,117,1.8,332,5.2,90,1.4,250,3.9,53,0.8,12,0.2,141,2.2,44,0.7,4747,73.7,4429,68.8,108,1.7,0,0,5,0.1,205,3.2,111,1.7,0,0,111,1.7
Birmingham 014,E02001840,9601,100,1173,12.2,255,2.7,84,0.9,287,3,385,4,162,1.7,1419,14.8,587,6.1,624,6.5,208,2.2,644,6.7,100,1,38,0.4,387,4,119,1.2,6171,64.3,5528,57.6,130,1.4,4,0,8,0.1,501,5.2,194,2,51,0.5,143,1.5
Birmingham 015,E02001841,5965,100,903,15.1,66,1.1,55,0.9,426,7.1,273,4.6,83,1.4,146,2.4,44,0.7,81,1.4,21,0.4,165,2.8,55,0.9,10,0.2,48,0.8,52,0.9,4600,77.1,4326,72.5,159,2.7,0,0,1,0,114,1.9,151,2.5,27,0.5,124,2.1
Birmingham 016,E02001842,8069,100,2250,27.9,341,4.2,61,0.8,1168,14.5,517,6.4,163,2,1057,13.1,216,2.7,717,8.9,124,1.5,407,5,66,0.8,20,0.2,242,3,79,1,4118,51,3721,46.1,142,1.8,0,0,6,0.1,249,3.1,237,2.9,34,0.4,203,2.5
Birmingham 017,E02001843,6638,100,821,12.4,61,0.9,32,0.5,243,3.7,347,5.2,138,2.1,578,8.7,135,2,359,5.4,84,1.3,289,4.4,66,1,25,0.4,143,2.2,55,0.8,4826,72.7,4458,67.2,118,1.8,2,0,0,0,248,3.7,124,1.9,22,0.3,102,1.5
Birmingham 018,E02001844,9717,100,761,7.8,69,0.7,51,0.5,293,3,229,2.4,119,1.2,517,5.3,96,1,339,3.5,82,0.8,427,4.4,95,1,20,0.2,210,2.2,102,1,7853,80.8,7180,73.9,294,3,1,0,10,0.1,368,3.8,159,1.6,47,0.5,112,1.2
Birmingham 019,E02001845,6664,100,1132,17,252,3.8,24,0.4,500,7.5,245,3.7,111,1.7,693,10.4,174,2.6,424,6.4,95,1.4,325,4.9,60,0.9,15,0.2,176,2.6,74,1.1,4353,65.3,4023,60.4,115,1.7,5,0.1,9,0.1,201,3,161,2.4,30,0.5,131,2
Birmingham 020,E02001846,8157,100,1147,14.1,113,1.4,37,0.5,197,2.4,676,8.3,124,1.5,1014,12.4,382,4.7,493,6,139,1.7,532,6.5,60,0.7,83,1,298,3.7,91,1.1,5222,64,4433,54.3,167,2,2,0,12,0.1,608,7.5,242,3,117,1.4,125,1.5
Birmingham 021,E02001847,5601,100,420,7.5,21,0.4,44,0.8,180,3.2,128,2.3,47,0.8,165,2.9,67,1.2,77,1.4,21,0.4,205,3.7,48,0.9,8,0.1,117,2.1,32,0.6,4728,84.4,4458,79.6,111,2,0,0,4,0.1,155,2.8,83,1.5,14,0.2,69,1.2
Birmingham 022,E02001848,7319,100,1484,20.3,248,3.4,21,0.3,239,3.3,795,10.9,181,2.5,1655,22.6,872,11.9,600,8.2,183,2.5,416,5.7,82,1.1,42,0.6,236,3.2,56,0.8,3530,48.2,2992,40.9,82,1.1,7,0.1,11,0.2,438,6,234,3.2,60,0.8,174,2.4
Birmingham 023,E02001849,8789,100,1117,12.7,128,1.5,77,0.9,220,2.5,553,6.3,139,1.6,1643,18.7,905,10.3,526,6,212,2.4,580,6.6,95,1.1,53,0.6,314,3.6,118,1.3,5254,59.8,4178,47.5,227,2.6,5,0.1,10,0.1,834,9.5,195,2.2,69,0.8,126,1.4
Birmingham 024,E02001850,8605,100,3710,43.1,647,7.5,55,0.6,1159,13.5,1565,18.2,284,3.3,1417,16.5,430,5,769,8.9,218,2.5,427,5,107,1.2,30,0.3,163,1.9,127,1.5,2636,30.6,2105,24.5,115,1.3,0,0,17,0.2,399,4.6,415,4.8,79,0.9,336,3.9
Birmingham 025,E02001851,9077,100,1103,12.2,61,0.7,186,2,262,2.9,465,5.1,129,1.4,924,10.2,297,3.3,490,5.4,137,1.5,536,5.9,101,1.1,40,0.4,304,3.3,91,1,6280,69.2,5664,62.4,223,2.5,0,0,1,0,392,4.3,234,2.6,94,1,140,1.5
Birmingham 026,E02001852,7032,100,1636,23.3,190,2.7,56,0.8,258,3.7,1006,14.3,126,1.8,1067,15.2,359,5.1,583,8.3,125,1.8,397,5.6,84,1.2,36,0.5,187,2.7,90,1.3,3726,53,3005,42.7,90,1.3,10,0.1,23,0.3,598,8.5,206,2.9,72,1,134,1.9
Birmingham 029,E02001855,9932,100,261,2.6,29,0.3,11,0.1,34,0.3,138,1.4,49,0.5,804,8.1,245,2.5,420,4.2,139,1.4,857,8.6,98,1,43,0.4,622,6.3,94,0.9,7905,79.6,7509,75.6,152,1.5,0,0,0,0,244,2.5,105,1.1,16,0.2,89,0.9
