Count,Geog_Code,Total: All usual residents aged 16 years and over,% Total: All usual residents aged 16 years and over,Economically active (excluding full-time students),% Economically active (excluding full-time students),Economically active (excluding full-time students):In employment,% Economically active (excluding full-time students):In employment,Economically active (excluding full-time students):In employment:Employee,% Economically active (excluding full-time students):In employment:Employee,Economically active (excluding full-time students): In employment: Employee: Part-time,% Economically active (excluding full-time students): In employment: Employee: Part-time,Economically active (excluding full-time students): In employment: Employee: Full-time,% Economically active (excluding full-time students): In employment: Employee: Full-time,Economically active (excluding full-time students):In employment:Self-employed with employees,% Economically active (excluding full-time students):In employment:Self-employed with employees,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,% Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,% Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economically active (excluding full-time students):In employment:Self-employed without employees,% Economically active (excluding full-time students):In employment:Self-employed without employees,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,% Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,% Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed,Economically active and a full-time student,% Economically active and a full-time student,Economically active and a full-time student:In employment,% Economically active and a full-time student:In employment,Economically active and a full-time student:In employment:Employee,% Economically active and a full-time student:In employment:Employee,Economically active and a full-time student: In employment: Employee: Part-time,% Economically active and a full-time student: In employment: Employee: Part-time,Economically active and a full-time student: In employment: Employee: Full-time,% Economically active and a full-time student: In employment: Employee: Full-time,Economically active and a full-time student:In employment:Self-employed with employees,% Economically active and a full-time student:In employment:Self-employed with employees,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,% Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,% Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economically active and a full-time student:In employment:Self-employed without employees, % Economically active and a full-time student:In employment:Self-employed without employees,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,% Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,% Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economically active and a full-time student: Unemployed,% Economically active and a full-time student: Unemployed,Economically inactive,% Economically inactive,Economically inactive: Retired,% Economically inactive: Retired,Economically inactive: Student,% Economically inactive: Student,Economically inactive: Looking after home or family,% Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,% Economically inactive: Long-term sick or disabled,Economically inactive: Other,% Economically inactive: Other
Birmingham 001,E02001827,5188,100,2877,55.5,2763,53.3,2278,43.9,555,10.7,1723,33.2,99,1.9,13,0.3,86,1.7,386,7.4,162,3.1,224,4.3,114,2.2,101,1.9,69,1.3,65,1.3,58,1.1,7,0.1,0,0,0,0,0,0,4,0.1,4,0.1,0,0,32,0.6,2210,42.6,1512,29.1,254,4.9,189,3.6,150,2.9,105,2
Birmingham 002,E02001828,5859,100,3173,54.2,3048,52,2484,42.4,666,11.4,1818,31,139,2.4,27,0.5,112,1.9,425,7.3,205,3.5,220,3.8,125,2.1,86,1.5,54,0.9,49,0.8,42,0.7,7,0.1,0,0,0,0,0,0,5,0.1,4,0.1,1,0,32,0.5,2600,44.4,1862,31.8,272,4.6,191,3.3,167,2.9,108,1.8
Birmingham 003,E02001829,7139,100,4403,61.7,4259,59.7,3561,49.9,888,12.4,2673,37.4,152,2.1,34,0.5,118,1.7,546,7.6,248,3.5,298,4.2,144,2,96,1.3,75,1.1,69,1,60,0.8,9,0.1,1,0,1,0,0,0,5,0.1,1,0,4,0.1,21,0.3,2640,37,1855,26,339,4.7,240,3.4,96,1.3,110,1.5
Birmingham 004,E02001830,8122,100,4516,55.6,4396,54.1,3497,43.1,884,10.9,2613,32.2,259,3.2,53,0.7,206,2.5,640,7.9,303,3.7,337,4.1,120,1.5,112,1.4,82,1,77,0.9,60,0.7,17,0.2,1,0,1,0,0,0,4,0,3,0,1,0,30,0.4,3494,43,2473,30.4,390,4.8,301,3.7,146,1.8,184,2.3
Birmingham 005,E02001831,8333,100,4946,59.4,4650,55.8,4043,48.5,1020,12.2,3023,36.3,73,0.9,13,0.2,60,0.7,534,6.4,206,2.5,328,3.9,296,3.6,150,1.8,113,1.4,106,1.3,81,1,25,0.3,3,0,1,0,2,0,4,0,4,0,0,0,37,0.4,3237,38.8,1737,20.8,350,4.2,390,4.7,472,5.7,288,3.5
Birmingham 006,E02001832,6582,100,3898,59.2,3745,56.9,3185,48.4,795,12.1,2390,36.3,101,1.5,17,0.3,84,1.3,459,7,187,2.8,272,4.1,153,2.3,97,1.5,74,1.1,73,1.1,63,1,10,0.2,1,0,1,0,0,0,0,0,0,0,0,0,23,0.3,2587,39.3,1846,28,278,4.2,199,3,140,2.1,124,1.9
Birmingham 007,E02001833,4813,100,2926,60.8,2794,58.1,2342,48.7,588,12.2,1754,36.4,79,1.6,15,0.3,64,1.3,373,7.7,139,2.9,234,4.9,132,2.7,67,1.4,45,0.9,43,0.9,33,0.7,10,0.2,1,0,1,0,0,0,1,0,1,0,0,0,22,0.5,1820,37.8,1165,24.2,230,4.8,186,3.9,112,2.3,127,2.6
Birmingham 008,E02001834,4648,100,2758,59.3,2560,55.1,2225,47.9,632,13.6,1593,34.3,37,0.8,8,0.2,29,0.6,298,6.4,95,2,203,4.4,198,4.3,113,2.4,79,1.7,66,1.4,53,1.1,13,0.3,0,0,0,0,0,0,13,0.3,12,0.3,1,0,34,0.7,1777,38.2,754,16.2,257,5.5,299,6.4,288,6.2,179,3.9
Birmingham 009,E02001835,6964,100,4300,61.7,4148,59.6,3499,50.2,743,10.7,2756,39.6,130,1.9,21,0.3,109,1.6,519,7.5,244,3.5,275,3.9,152,2.2,121,1.7,86,1.2,80,1.1,59,0.8,21,0.3,1,0,1,0,0,0,5,0.1,4,0.1,1,0,35,0.5,2543,36.5,1617,23.2,286,4.1,224,3.2,286,4.1,130,1.9
Birmingham 010,E02001836,7462,100,4299,57.6,4140,55.5,3523,47.2,848,11.4,2675,35.8,118,1.6,29,0.4,89,1.2,499,6.7,203,2.7,296,4,159,2.1,120,1.6,85,1.1,77,1,57,0.8,20,0.3,1,0,1,0,0,0,7,0.1,5,0.1,2,0,35,0.5,3043,40.8,2071,27.8,367,4.9,251,3.4,186,2.5,168,2.3
