Count,Geog_Code,Total: All usual residents aged 16 years and over,% Total: All usual residents aged 16 years and over,No qualifications,% No qualifications,Level 1 and entry level qualifications,% Level 1 and entry level qualifications,Level 2 qualifications,% Level 2 qualifications,Apprenticeship,% Apprenticeship,Level 3 qualifications,% Level 3 qualifications,Level 4 qualifications or above,% Level 4 qualifications or above,Other qualifications,% Other qualifications
Birmingham 001,E02001827,5184,100,728,14,428,8.3,718,13.9,215,4.1,810,15.6,2165,41.8,120,2.3
Birmingham 002,E02001828,5859,100,923,15.8,469,8,784,13.4,248,4.2,860,14.7,2417,41.3,158,2.7
Birmingham 003,E02001829,7134,100,750,10.5,526,7.4,945,13.2,314,4.4,1146,16.1,3302,46.3,151,2.1
Birmingham 004,E02001830,8123,100,906,11.2,585,7.2,915,11.3,304,3.7,1228,15.1,4016,49.4,169,2.1
Birmingham 005,E02001831,8332,100,1641,19.7,878,10.5,1183,14.2,431,5.2,1434,17.2,2558,30.7,207,2.5
Birmingham 006,E02001832,6585,100,925,14,568,8.6,851,12.9,314,4.8,1031,15.7,2762,41.9,134,2
Birmingham 007,E02001833,4809,100,844,17.6,445,9.3,653,13.6,328,6.8,876,18.2,1549,32.2,114,2.4
Birmingham 008,E02001834,4647,100,1180,25.4,600,12.9,714,15.4,277,6,798,17.2,966,20.8,112,2.4
Birmingham 009,E02001835,6968,100,927,13.3,513,7.4,889,12.8,219,3.1,988,14.2,3269,46.9,163,2.3
Birmingham 010,E02001836,7460,100,1155,15.5,619,8.3,884,11.8,323,4.3,1188,15.9,3111,41.7,180,2.4
Birmingham 011,E02001837,8004,100,2553,31.9,966,12.1,1222,15.3,368,4.6,1195,14.9,1478,18.5,222,2.8
Birmingham 012,E02001838,6337,100,946,14.9,579,9.1,885,14,313,4.9,1111,17.5,2355,37.2,148,2.3
Birmingham 013,E02001839,5185,100,1312,25.3,584,11.3,765,14.8,286,5.5,894,17.2,1181,22.8,163,3.1
Birmingham 014,E02001840,7270,100,2066,28.4,913,12.6,1022,14.1,345,4.7,1131,15.6,1561,21.5,232,3.2
Birmingham 015,E02001841,5016,100,712,14.2,340,6.8,575,11.5,214,4.3,753,15,2303,45.9,119,2.4
Birmingham 016,E02001842,6420,100,1297,20.2,690,10.7,891,13.9,306,4.8,1093,17,1944,30.3,199,3.1
Birmingham 017,E02001843,5306,100,1317,24.8,660,12.4,790,14.9,309,5.8,923,17.4,1143,21.5,164,3.1
Birmingham 018,E02001844,8176,100,1668,20.4,643,7.9,929,11.4,383,4.7,1323,16.2,3043,37.2,187,2.3
Birmingham 019,E02001845,5193,100,1055,20.3,568,10.9,734,14.1,295,5.7,1036,19.9,1390,26.8,115,2.2
Birmingham 020,E02001846,6319,100,1717,27.2,722,11.4,843,13.3,324,5.1,998,15.8,1525,24.1,190,3
Birmingham 021,E02001847,4573,100,930,20.3,439,9.6,589,12.9,285,6.2,791,17.3,1403,30.7,136,3
Birmingham 022,E02001848,5374,100,1511,28.1,656,12.2,753,14,268,5,829,15.4,1165,21.7,192,3.6
Birmingham 023,E02001849,6492,100,1390,21.4,777,12,884,13.6,313,4.8,963,14.8,1961,30.2,204,3.1
Birmingham 024,E02001850,6632,100,1470,22.2,671,10.1,852,12.8,264,4,1121,16.9,2041,30.8,213,3.2
Birmingham 025,E02001851,7241,100,1748,24.1,768,10.6,976,13.5,356,4.9,1204,16.6,2003,27.7,186,2.6
Birmingham 026,E02001852,5590,100,1379,24.7,672,12,710,12.7,283,5.1,957,17.1,1401,25.1,188,3.4
Birmingham 029,E02001855,7734,100,2424,31.3,1007,13,1213,15.7,395,5.1,1211,15.7,1273,16.5,211,2.7
Birmingham 030,E02001856,7345,100,1937,26.4,836,11.4,913,12.4,334,4.5,1183,16.1,1901,25.9,241,3.3
Birmingham 031,E02001857,11133,100,3091,27.8,1226,11,1347,12.1,473,4.2,1705,15.3,2950,26.5,341,3.1
Birmingham 032,E02001858,7383,100,1734,23.5,729,9.9,790,10.7,211,2.9,1301,17.6,2379,32.2,239,3.2
Birmingham 033,E02001859,7668,100,2535,33.1,975,12.7,874,11.4,229,3,1140,14.9,1662,21.7,253,3.3
Birmingham 034,E02001860,6340,100,1981,31.2,816,12.9,779,12.3,227,3.6,813,12.8,1403,22.1,321,5.1
Birmingham 035,E02001861,8296,100,2498,30.1,974,11.7,1095,13.2,287,3.5,1237,14.9,1932,23.3,273,3.3
Birmingham 036,E02001862,7508,100,2286,30.4,927,12.3,889,11.8,309,4.1,1060,14.1,1692,22.5,345,4.6
Birmingham 037,E02001863,6171,100,2312,37.5,816,13.2,763,12.4,170,2.8,758,12.3,1157,18.7,195,3.2
Birmingham 039,E02001865,8596,100,3069,35.7,980,11.4,1039,12.1,279,3.2,1155,13.4,1677,19.5,397,4.6
Birmingham 040,E02001866,7160,100,2466,34.4,901,12.6,937,13.1,163,2.3,1044,14.6,1397,19.5,252,3.5
Birmingham 041,E02001867,6220,100,2083,33.5,792,12.7,784,12.6,163,2.6,891,14.3,1293,20.8,214,3.4
Birmingham 042,E02001868,7199,100,1890,26.3,731,10.2,1087,15.1,214,3,1167,16.2,1898,26.4,212,2.9
Birmingham 043,E02001869,4652,100,1527,32.8,568,12.2,559,12,151,3.2,687,14.8,991,21.3,169,3.6
Birmingham 044,E02001870,9175,100,2919,31.8,1081,11.8,1313,14.3,280,3.1,1395,15.2,1848,20.1,339,3.7
Birmingham 045,E02001871,6385,100,1863,29.2,795,12.5,956,15,288,4.5,997,15.6,1303,20.4,183,2.9
Birmingham 046,E02001872,5638,100,1650,29.3,681,12.1,933,16.5,266,4.7,969,17.2,1001,17.8,138,2.4
Birmingham 047,E02001873,8420,100,2572,30.5,980,11.6,955,11.3,278,3.3,1191,14.1,2075,24.6,369,4.4
Birmingham 048,E02001874,7033,100,2545,36.2,927,13.2,975,13.9,179,2.5,950,13.5,1223,17.4,234,3.3
Birmingham 049,E02001875,6478,100,1737,26.8,689,10.6,752,11.6,212,3.3,915,14.1,1943,30,230,3.6
Birmingham 050,E02001876,13701,100,1700,12.4,816,6,1008,7.4,201,1.5,6165,45,3527,25.7,284,2.1
Birmingham 051,E02001877,8743,100,3270,37.4,1024,11.7,1202,13.7,170,1.9,1201,13.7,1606,18.4,270,3.1
Birmingham 052,E02001878,6811,100,2167,31.8,789,11.6,877,12.9,144,2.1,1050,15.4,1541,22.6,243,3.6
Birmingham 053,E02001879,7679,100,2417,31.5,847,11,873,11.4,266,3.5,1136,14.8,1901,24.8,239,3.1
Birmingham 054,E02001880,7087,100,2141,30.2,909,12.8,1039,14.7,273,3.9,1017,14.4,1470,20.7,238,3.4
Birmingham 055,E02001881,7325,100,2586,35.3,891,12.2,962,13.1,205,2.8,1064,14.5,1341,18.3,276,3.8
Birmingham 056,E02001882,6676,100,1967,29.5,787,11.8,854,12.8,248,3.7,990,14.8,1602,24,228,3.4
