"wz11cd","lsoa11cd","msoa11cd","date","Area/Population Density: All usual residents; measures: Value","Area/Population Density: Area Hectares; measures: Value","Area/Population Density: Density (number of persons per hectare); measures: Value"
"E33018102","E01008884","E02001904",2011,735,26.75,27.5
"E33018103","E01008884","E02001904",2011,324,6.71,48.3
"E33018104","E01008884","E02001904",2011,704,8.6,81.9
"E33018105","E01008884","E02001904",2011,413,11.56,35.7
"E33018106","E01008889","E02001904",2011,498,7.77,64.1
"E33018107","E01008889","E02001904",2011,228,10.87,21
"E33018108","E01008887","E02001904",2011,522,15.84,33
"E33018109","E01008889","E02001904",2011,179,7.75,23.1
"E33018110","E01008889","E02001904",2011,490,6.85,71.5
"E33018111","E01008889","E02001904",2011,473,14.26,33.2
"E33018112","E01008889","E02001904",2011,623,6.92,90
"E33018113","E01008910","E02001876",2011,481,10.91,44.1
"E33018114","E01008910","E02001876",2011,2456,7.02,349.9
"E33018115","E01033638","E02001875",2011,821,8.27,99.3
"E33018116","E01008913","E02001876",2011,363,9.09,39.9
"E33018117","E01008899","E02001863",2011,383,12.78,30
"E33018118","E01008899","E02001863",2011,256,5.53,46.3
"E33018119","E01008899","E02001863",2011,452,13.24,34.1
"E33018120","E01008899","E02001863",2011,465,4.15,112
"E33018121","E01008901","E02001863",2011,659,32.13,20.5
"E33018122","E01008901","E02001863",2011,667,6.26,106.5
"E33018123","E01008901","E02001863",2011,314,13.57,23.1
"E33018124","E01008901","E02001863",2011,509,8.84,57.6
"E33018125","E01008901","E02001863",2011,471,11.99,39.3
"E33018126","E01008917","E02001928",2011,261,17.34,15.1
"E33018127","E01008961","E02001942",2011,356,1.84,193.5
"E33018128","E01008961","E02001942",2011,371,4.63,80.1
"E33018129","E01008950","E02001939",2011,771,10.36,74.4
"E33018130","E01008991","E02001890",2011,794,13.7,58
"E33018131","E01008994","E02001900",2011,935,1.2,779.2
"E33018132","E01008994","E02001900",2011,333,2.88,115.6
"E33018133","E01008994","E02001900",2011,739,1.4,527.9
"E33018134","E01008994","E02001900",2011,206,3.95,52.2
"E33018135","E01008994","E02001900",2011,308,3.32,92.8
"E33018136","E01008990","E02001890",2011,741,2.31,320.8
"E33018137","E01008990","E02001890",2011,251,11.24,22.3
"E33018138","E01008990","E02001890",2011,415,5.09,81.5
"E33018139","E01008990","E02001890",2011,1722,3.23,533.1
"E33018140","E01008990","E02001890",2011,564,2.39,236
"E33018141","E01008988","E02001890",2011,392,4.89,80.2
"E33018142","E01033631","E02001905",2011,7744,64.46,120.1
"E33018143","E01033631","E02001905",2011,210,10.2,20.6
"E33018144","E01033631","E02001905",2011,373,35.9,10.4
"E33018145","E01009007","E02001849",2011,233,1.09,213.8
"E33018146","E01009007","E02001849",2011,282,3.32,84.9
"E33018147","E01009007","E02001849",2011,384,4.03,95.3
"E33018148","E01009007","E02001849",2011,487,1.94,251
"E33018149","E01009007","E02001849",2011,507,2.2,230.5
"E33018150","E01009007","E02001849",2011,271,3.48,77.9
"E33018151","E01009007","E02001849",2011,398,1.27,313.4
"E33018152","E01009007","E02001849",2011,407,5.71,71.3
"E33018153","E01009014","E02001916",2011,1018,17.3,58.8
"E33018154","E01009026","E02001916",2011,370,13.4,27.6
"E33018155","E01033641","E02006901",2011,345,22.8,15.1
"E33018156","E01009015","E02001915",2011,315,7.71,40.9
"E33018157","E01009045","E02001923",2011,410,14.78,27.7
"E33018158","E01009069","E02001901",2011,491,2.7,181.9
"E33018159","E01009069","E02001901",2011,261,3.85,67.8
"E33018160","E01009098","E02001851",2011,842,20.54,41
"E33018161","E01009102","E02001854",2011,1571,25.35,62
"E33018162","E01009102","E02001854",2011,1166,30.3,38.5
"E33018163","E01009102","E02001854",2011,388,18.67,20.8
"E33018164","E01009102","E02001854",2011,584,14.42,40.5
"E33018165","E01009102","E02001854",2011,313,9.06,34.5
"E33018166","E01009102","E02001854",2011,304,13.38,22.7
"E33018167","E01009102","E02001854",2011,1483,6.58,225.4
"E33018168","E01009102","E02001854",2011,1028,57.34,17.9
"E33018169","E01009101","E02001855",2011,711,27.29,26.1
"E33018170","E01009101","E02001855",2011,2810,45.71,61.5
"E33018171","E01009101","E02001855",2011,526,18.72,28.1
"E33018172","E01009119","E02001949",2011,249,12.01,20.7
"E33018173","E01009119","E02001949",2011,274,14.37,19.1
"E33018174","E01009119","E02001949",2011,668,10.4,64.2
"E33018175","E01009119","E02001949",2011,386,12.32,31.3
"E33018176","E01009119","E02001949",2011,745,16.73,44.5
"E33018177","E01009116","E02001953",2011,965,42.15,22.9
"E33018178","E01033627","E02006898",2011,3549,1.28,2772.7
"E33018179","E01033627","E02006898",2011,377,2.6,145
"E33018180","E01033622","E02006899",2011,1633,5.58,292.7
"E33018181","E01033627","E02006898",2011,373,3.26,114.4
"E33018182","E01033627","E02006898",2011,1013,2.21,458.4
"E33018183","E01033627","E02006898",2011,1158,6.62,174.9
"E33018184","E01009146","E02006897",2011,249,1.67,149.1
"E33018185","E01009146","E02006897",2011,364,0.83,438.6
"E33018186","E01009146","E02006897",2011,389,1.58,246.2
"E33018187","E01009146","E02006897",2011,2428,0.87,2790.8
"E33018188","E01033639","E02006897",2011,367,4.85,75.7
"E33018189","E01033639","E02006897",2011,377,1.27,296.9
"E33018190","E01033639","E02006897",2011,749,1.99,376.4
"E33018191","E01033639","E02006897",2011,539,2.97,181.5
"E33018192","E01033639","E02006897",2011,424,3.9,108.7
"E33018193","E01033639","E02006897",2011,588,1.6,367.5
"E33018194","E01033623","E02006899",2011,675,5.69,118.6
"E33018195","E01009159","E02001956",2011,1194,20.67,57.8
"E33018196","E01009159","E02001956",2011,709,20.86,34
"E33018197","E01009184","E02001918",2011,1210,8.85,136.7
"E33018198","E01009188","E02001918",2011,458,6.15,74.5
"E33018199","E01009178","E02001930",2011,539,6.99,77.1
"E33018200","E01009178","E02001930",2011,496,5.84,84.9
"E33018201","E01009178","E02001930",2011,386,2.71,142.4
"E33018202","E01009203","E02001869",2011,806,15.63,51.6
"E33018203","E01009199","E02001878",2011,850,21.51,39.5
"E33018204","E01009204","E02001878",2011,302,13.47,22.4
"E33018205","E01009204","E02001878",2011,312,13.21,23.6
"E33018206","E01009204","E02001878",2011,370,18.13,20.4
"E33018207","E01009204","E02001878",2011,255,7.11,35.9
"E33018208","E01033644","E02001878",2011,208,12.53,16.6
"E33018209","E01033644","E02001878",2011,257,10.74,23.9
"E33018210","E01033644","E02001878",2011,932,13.98,66.7
