"wz11cd","lsoa11cd","msoa11cd","date","Welsh Language Skills: All categories: All usual residents (Workplace population); measures: Value","Welsh Language Skills: No skills in Welsh; measures: Value","Welsh Language Skills: Can understand spoken Welsh only; measures: Value","Welsh Language Skills: Can speak Welsh: Total; measures: Value","Welsh Language Skills: Can speak but cannot read or write Welsh; measures: Value","Welsh Language Skills: Can speak and read but cannot write Welsh; measures: Value","Welsh Language Skills: Can speak, read and write Welsh; measures: Value","Welsh Language Skills: Can speak and other combinations of skills in Welsh; measures: Value","Welsh Language Skills: Can read but cannot speak or write Welsh; measures: Value","Welsh Language Skills: Can read and write but cannot speak Welsh; measures: Value","Welsh Language Skills: Can write but cannot speak or read Welsh; measures: Value","Welsh Language Skills: Works in Wales but lives in England; measures: Value"
"E33018102","E01008884","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018103","E01008884","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018104","E01008884","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018105","E01008884","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018106","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018107","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018108","E01008887","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018109","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018110","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018111","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018112","E01008889","E02001904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018113","E01008910","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018114","E01008910","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018115","E01033638","E02001875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018116","E01008913","E02001876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018117","E01008899","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018118","E01008899","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018119","E01008899","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018120","E01008899","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018121","E01008901","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018122","E01008901","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018123","E01008901","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018124","E01008901","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018125","E01008901","E02001863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018126","E01008917","E02001928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018127","E01008961","E02001942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018128","E01008961","E02001942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018129","E01008950","E02001939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018130","E01008991","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018131","E01008994","E02001900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018132","E01008994","E02001900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018133","E01008994","E02001900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018134","E01008994","E02001900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018135","E01008994","E02001900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018136","E01008990","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018137","E01008990","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018138","E01008990","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018139","E01008990","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018140","E01008990","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018141","E01008988","E02001890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018142","E01033631","E02001905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018143","E01033631","E02001905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018144","E01033631","E02001905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018145","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018146","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018147","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018148","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018149","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018150","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018151","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018152","E01009007","E02001849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018153","E01009014","E02001916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018154","E01009026","E02001916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018155","E01033641","E02006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018156","E01009015","E02001915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018157","E01009045","E02001923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018158","E01009069","E02001901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018159","E01009069","E02001901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018160","E01009098","E02001851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018161","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E33018162","E01009102","E02001854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
