"wz11cd","lsoa11cd","msoa11cd","date","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E33018102","E01008884","E02001904",2011,735,401,3,10,1,122,7,2,155,34
"E33018103","E01008884","E02001904",2011,324,171,0,10,0,32,7,3,80,21
"E33018104","E01008884","E02001904",2011,704,364,1,8,0,84,18,2,178,49
"E33018105","E01008884","E02001904",2011,413,226,2,4,0,75,10,0,67,29
"E33018106","E01008889","E02001904",2011,498,222,1,6,0,118,15,0,98,38
"E33018107","E01008889","E02001904",2011,228,106,0,3,0,47,8,2,47,15
"E33018108","E01008887","E02001904",2011,522,297,0,15,0,43,10,1,124,32
"E33018109","E01008889","E02001904",2011,179,109,0,3,0,8,4,0,46,9
"E33018110","E01008889","E02001904",2011,490,315,1,2,0,31,9,1,103,28
"E33018111","E01008889","E02001904",2011,473,296,2,3,0,30,17,0,103,22
"E33018112","E01008889","E02001904",2011,623,281,1,18,1,170,24,1,92,35
"E33018113","E01008910","E02001876",2011,481,275,2,9,1,21,8,1,131,33
"E33018114","E01008910","E02001876",2011,2456,1169,7,155,1,333,173,19,416,183
"E33018115","E01033638","E02001875",2011,821,428,3,44,0,89,49,9,147,52
"E33018116","E01008913","E02001876",2011,363,189,16,7,0,24,25,3,74,25
"E33018117","E01008899","E02001863",2011,383,207,1,8,0,64,18,3,65,17
"E33018118","E01008899","E02001863",2011,256,120,2,1,0,39,21,1,58,14
"E33018119","E01008899","E02001863",2011,452,270,0,4,1,18,11,1,128,19
"E33018120","E01008899","E02001863",2011,465,306,1,7,0,22,6,2,97,24
"E33018121","E01008901","E02001863",2011,659,428,0,5,0,44,8,4,140,30
"E33018122","E01008901","E02001863",2011,667,357,0,16,1,72,22,4,167,28
"E33018123","E01008901","E02001863",2011,314,156,2,4,0,61,14,4,47,26
"E33018124","E01008901","E02001863",2011,509,273,1,6,0,51,23,1,126,28
"E33018125","E01008901","E02001863",2011,471,303,0,5,0,16,15,3,110,19
"E33018126","E01008917","E02001928",2011,261,174,0,5,0,22,3,1,37,19
"E33018127","E01008961","E02001942",2011,356,173,1,4,0,21,10,1,126,20
"E33018128","E01008961","E02001942",2011,371,210,2,6,0,26,6,1,93,27
"E33018129","E01008950","E02001939",2011,771,490,1,5,1,13,17,5,202,37
"E33018130","E01008991","E02001890",2011,794,432,2,29,4,64,37,5,162,59
"E33018131","E01008994","E02001900",2011,935,503,3,41,2,49,38,8,242,49
"E33018132","E01008994","E02001900",2011,333,177,2,5,0,27,19,0,84,19
"E33018133","E01008994","E02001900",2011,739,427,2,20,7,39,32,10,155,47
"E33018134","E01008994","E02001900",2011,206,112,0,10,1,20,5,0,49,9
"E33018135","E01008994","E02001900",2011,308,183,1,8,0,18,21,2,63,12
"E33018136","E01008990","E02001890",2011,741,370,4,17,3,30,26,6,229,56
"E33018137","E01008990","E02001890",2011,251,141,0,6,1,12,14,2,56,19
"E33018138","E01008990","E02001890",2011,415,228,0,13,0,12,19,3,115,25
"E33018139","E01008990","E02001890",2011,1722,886,9,50,4,175,74,13,401,110
"E33018140","E01008990","E02001890",2011,564,316,0,15,0,29,28,4,131,41
"E33018141","E01008988","E02001890",2011,392,235,4,6,0,14,14,2,99,18
"E33018142","E01033631","E02001905",2011,7744,3587,60,139,48,269,140,57,2893,551
"E33018143","E01033631","E02001905",2011,210,132,0,1,1,5,3,0,51,17
"E33018144","E01033631","E02001905",2011,373,207,4,7,0,19,9,2,98,27
"E33018145","E01009007","E02001849",2011,233,132,0,4,0,10,14,1,62,10
"E33018146","E01009007","E02001849",2011,282,161,5,6,0,25,3,1,66,15
"E33018147","E01009007","E02001849",2011,384,215,4,15,0,26,6,1,102,15
"E33018148","E01009007","E02001849",2011,487,305,2,13,0,20,12,4,93,38
"E33018149","E01009007","E02001849",2011,507,333,0,9,0,20,25,3,88,29
"E33018150","E01009007","E02001849",2011,271,167,2,1,0,15,4,4,68,10
"E33018151","E01009007","E02001849",2011,398,246,2,5,0,27,12,2,81,23
"E33018152","E01009007","E02001849",2011,407,268,0,1,0,14,16,1,80,27
"E33018153","E01009014","E02001916",2011,1018,575,3,17,1,47,25,2,286,62
"E33018154","E01009026","E02001916",2011,370,172,0,7,2,83,19,0,62,25
"E33018155","E01033641","E02006901",2011,345,150,2,12,0,47,16,4,91,23
"E33018156","E01009015","E02001915",2011,315,217,1,5,2,26,9,0,40,15
"E33018157","E01009045","E02001923",2011,410,205,2,8,2,62,14,5,75,37
"E33018158","E01009069","E02001901",2011,491,278,3,10,0,19,11,4,132,34
"E33018159","E01009069","E02001901",2011,261,154,1,4,3,6,3,4,66,20
"E33018160","E01009098","E02001851",2011,842,533,0,18,0,49,8,3,178,53
"E33018161","E01009102","E02001854",2011,1571,918,2,17,0,87,52,8,401,86
"E33018162","E01009102","E02001854",2011,1166,664,2,24,0,95,33,4,284,60
"E33018163","E01009102","E02001854",2011,388,240,4,1,0,34,4,0,88,17
"E33018164","E01009102","E02001854",2011,584,332,2,10,0,67,14,3,126,30
"E33018165","E01009102","E02001854",2011,313,183,0,0,0,9,6,3,93,19
"E33018166","E01009102","E02001854",2011,304,164,1,1,0,8,6,0,100,24
"E33018167","E01009102","E02001854",2011,1483,815,4,31,5,114,41,15,375,83
"E33018168","E01009102","E02001854",2011,1028,595,3,12,0,41,28,4,264,81
"E33018169","E01009101","E02001855",2011,711,406,3,8,1,27,15,2,185,64
"E33018170","E01009101","E02001855",2011,2810,1789,8,29,1,58,86,18,646,175
"E33018171","E01009101","E02001855",2011,526,311,1,6,0,16,5,4,150,33
"E33018172","E01009119","E02001949",2011,249,154,0,0,0,5,2,0,75,13
"E33018173","E01009119","E02001949",2011,274,168,1,5,0,8,4,2,69,17
"E33018174","E01009119","E02001949",2011,668,415,0,9,0,18,14,1,175,36
"E33018175","E01009119","E02001949",2011,386,233,0,4,5,10,1,1,115,17
