"wz11cd","lsoa11cd","msoa11cd","date","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E33018102","E01008884","E02001904",2011,735,332,320,68,9,6
"E33018103","E01008884","E02001904",2011,324,145,144,27,6,2
"E33018104","E01008884","E02001904",2011,704,344,281,70,6,3
"E33018105","E01008884","E02001904",2011,413,150,196,58,7,2
"E33018106","E01008889","E02001904",2011,498,207,226,52,9,4
"E33018107","E01008889","E02001904",2011,228,110,100,16,2,0
"E33018108","E01008887","E02001904",2011,522,247,217,46,11,1
"E33018109","E01008889","E02001904",2011,179,58,86,32,2,1
"E33018110","E01008889","E02001904",2011,490,198,226,53,12,1
"E33018111","E01008889","E02001904",2011,473,208,205,54,4,2
"E33018112","E01008889","E02001904",2011,623,266,279,69,8,1
"E33018113","E01008910","E02001876",2011,481,209,210,56,3,3
"E33018114","E01008910","E02001876",2011,2456,1010,1086,297,51,12
"E33018115","E01033638","E02001875",2011,821,354,355,100,12,0
"E33018116","E01008913","E02001876",2011,363,147,158,46,8,4
"E33018117","E01008899","E02001863",2011,383,168,159,47,7,2
"E33018118","E01008899","E02001863",2011,256,109,106,34,7,0
"E33018119","E01008899","E02001863",2011,452,196,202,44,6,4
"E33018120","E01008899","E02001863",2011,465,195,205,59,5,1
"E33018121","E01008901","E02001863",2011,659,395,208,43,12,1
"E33018122","E01008901","E02001863",2011,667,314,286,60,4,3
"E33018123","E01008901","E02001863",2011,314,115,156,36,4,3
"E33018124","E01008901","E02001863",2011,509,237,217,45,9,1
"E33018125","E01008901","E02001863",2011,471,226,206,30,9,0
"E33018126","E01008917","E02001928",2011,261,108,117,31,4,1
"E33018127","E01008961","E02001942",2011,356,177,150,29,0,0
"E33018128","E01008961","E02001942",2011,371,158,165,43,5,0
"E33018129","E01008950","E02001939",2011,771,417,278,64,11,1
"E33018130","E01008991","E02001890",2011,794,356,360,70,7,1
"E33018131","E01008994","E02001900",2011,935,508,361,54,11,1
"E33018132","E01008994","E02001900",2011,333,174,140,16,3,0
"E33018133","E01008994","E02001900",2011,739,293,337,95,10,4
"E33018134","E01008994","E02001900",2011,206,96,86,21,3,0
"E33018135","E01008994","E02001900",2011,308,146,129,31,1,1
"E33018136","E01008990","E02001890",2011,741,390,279,61,10,1
"E33018137","E01008990","E02001890",2011,251,149,81,15,5,1
"E33018138","E01008990","E02001890",2011,415,236,149,25,4,1
"E33018139","E01008990","E02001890",2011,1722,862,689,138,29,4
"E33018140","E01008990","E02001890",2011,564,315,209,32,6,2
"E33018141","E01008988","E02001890",2011,392,198,160,31,3,0
"E33018142","E01033631","E02001905",2011,7744,4332,2830,501,59,22
"E33018143","E01033631","E02001905",2011,210,108,78,19,4,1
"E33018144","E01033631","E02001905",2011,373,188,144,32,9,0
"E33018145","E01009007","E02001849",2011,233,112,97,24,0,0
"E33018146","E01009007","E02001849",2011,282,137,119,22,4,0
"E33018147","E01009007","E02001849",2011,384,172,155,53,3,1
"E33018148","E01009007","E02001849",2011,487,192,226,59,7,3
"E33018149","E01009007","E02001849",2011,507,200,241,57,9,0
"E33018150","E01009007","E02001849",2011,271,138,103,22,8,0
"E33018151","E01009007","E02001849",2011,398,166,191,36,3,2
"E33018152","E01009007","E02001849",2011,407,170,182,46,7,2
"E33018153","E01009014","E02001916",2011,1018,535,401,68,12,2
"E33018154","E01009026","E02001916",2011,370,151,167,44,8,0
"E33018155","E01033641","E02006901",2011,345,137,166,37,4,1
"E33018156","E01009015","E02001915",2011,315,160,120,27,7,1
"E33018157","E01009045","E02001923",2011,410,172,182,49,7,0
"E33018158","E01009069","E02001901",2011,491,258,178,48,5,2
"E33018159","E01009069","E02001901",2011,261,137,99,21,2,2
"E33018160","E01009098","E02001851",2011,842,385,365,79,12,1
"E33018161","E01009102","E02001854",2011,1571,721,667,151,27,5
"E33018162","E01009102","E02001854",2011,1166,636,442,75,11,2
"E33018163","E01009102","E02001854",2011,388,175,167,35,9,2
"E33018164","E01009102","E02001854",2011,584,272,238,62,9,3
"E33018165","E01009102","E02001854",2011,313,151,130,31,1,0
"E33018166","E01009102","E02001854",2011,304,145,120,36,3,0
"E33018167","E01009102","E02001854",2011,1483,774,590,106,10,3
"E33018168","E01009102","E02001854",2011,1028,466,445,101,15,1
"E33018169","E01009101","E02001855",2011,711,397,244,58,10,2
"E33018170","E01009101","E02001855",2011,2810,1150,1257,330,61,12
"E33018171","E01009101","E02001855",2011,526,232,244,42,7,1
"E33018172","E01009119","E02001949",2011,249,99,107,38,4,1
"E33018173","E01009119","E02001949",2011,274,120,127,24,3,0
"E33018174","E01009119","E02001949",2011,668,303,296,58,11,0
"E33018175","E01009119","E02001949",2011,386,185,158,36,7,0
"E33018176","E01009119","E02001949",2011,745,344,302,83,11,5
"E33018177","E01009116","E02001953",2011,965,464,388,97,12,4
"E33018178","E01033627","E02006898",2011,3549,2144,1203,180,17,5
"E33018179","E01033627","E02006898",2011,377,182,149,41,2,3
"E33018180","E01033622","E02006899",2011,1633,892,604,118,17,2
"E33018181","E01033627","E02006898",2011,373,195,156,18,4,0
"E33018182","E01033627","E02006898",2011,1013,564,381,59,8,1
"E33018183","E01033627","E02006898",2011,1158,624,437,87,9,1
"E33018184","E01009146","E02006897",2011,249,111,113,22,3,0
"E33018185","E01009146","E02006897",2011,364,213,130,19,2,0
"E33018186","E01009146","E02006897",2011,389,206,158,21,4,0
"E33018187","E01009146","E02006897",2011,2428,1317,917,167,21,6
"E33018188","E01033639","E02006897",2011,367,169,161,33,4,0
"E33018189","E01033639","E02006897",2011,377,165,174,30,7,1
"E33018190","E01033639","E02006897",2011,749,379,306,51,11,2
"E33018191","E01033639","E02006897",2011,539,262,212,58,6,1
"E33018192","E01033639","E02006897",2011,424,199,191,28,5,1
"E33018193","E01033639","E02006897",2011,588,303,237,40,3,5
"E33018194","E01033623","E02006899",2011,675,334,260,69,12,0
"E33018195","E01009159","E02001956",2011,1194,564,509,105,13,3
"E33018196","E01009159","E02001956",2011,709,346,278,73,10,2
"E33018197","E01009184","E02001918",2011,1210,579,492,124,14,1
"E33018198","E01009188","E02001918",2011,458,221,187,49,1,0
"E33018199","E01009178","E02001930",2011,539,231,247,49,10,2
"E33018200","E01009178","E02001930",2011,496,256,174,60,4,2
"E33018201","E01009178","E02001930",2011,386,166,169,41,9,1
"E33018202","E01009203","E02001869",2011,806,342,353,95,13,3
"E33018203","E01009199","E02001878",2011,850,419,336,87,8,0
"E33018204","E01009204","E02001878",2011,302,119,134,41,7,1
"E33018205","E01009204","E02001878",2011,312,138,136,34,4,0
"E33018206","E01009204","E02001878",2011,370,143,165,48,10,4
"E33018207","E01009204","E02001878",2011,255,114,108,28,5,0
"E33018208","E01033644","E02001878",2011,208,93,85,25,5,0
"E33018209","E01033644","E02001878",2011,257,108,125,21,3,0
"E33018210","E01033644","E02001878",2011,932,393,422,98,16,3
"E33018211","E01009194","E02001877",2011,327,163,128,32,3,1
"E33018212","E01009198","E02001884",2011,277,129,121,22,3,2
"E33018213","E01009198","E02001884",2011,293,119,141,29,4,0
"E33018214","E01009198","E02001884",2011,267,104,123,38,2,0
"E33018215","E01009198","E02001884",2011,327,142,150,30,3,2
"E33018216","E01009200","E02006900",2011,197,96,87,13,1,0
"E33018217","E01009200","E02006900",2011,248,118,98,28,4,0
"E33018218","E01009200","E02006900",2011,422,207,176,36,2,1
"E33018219","E01009200","E02006900",2011,745,278,340,108,16,3
"E33018220","E01009200","E02006900",2011,284,127,117,35,3,2
"E33018221","E01009200","E02006900",2011,301,135,123,33,5,5
"E33018222","E01009200","E02006900",2011,278,124,128,18,6,2
"E33018223","E01009200","E02006900",2011,965,488,387,79,10,1
"E33018224","E01009202","E02001869",2011,222,87,118,16,1,0
"E33018225","E01009202","E02001869",2011,1138,514,521,85,12,6
"E33018226","E01009202","E02001869",2011,226,103,95,22,5,1
"E33018227","E01009202","E02001869",2011,530,205,263,55,6,1
"E33018228","E01009203","E02001869",2011,275,114,136,22,2,1
"E33018229","E01009203","E02001869",2011,279,123,123,30,2,1
"E33018230","E01009203","E02001869",2011,380,135,188,46,10,1
"E33018231","E01009203","E02001869",2011,300,107,143,37,11,2
"E33018232","E01009203","E02001869",2011,242,89,119,27,4,3
"E33018233","E01009203","E02001869",2011,312,129,144,32,4,3
"E33018234","E01009203","E02001869",2011,252,108,112,26,5,1
"E33018235","E01009203","E02001869",2011,470,219,200,47,3,1
"E33018236","E01009201","E02001869",2011,258,121,106,28,3,0
"E33018237","E01009201","E02001869",2011,417,186,179,43,9,0
"E33018238","E01009201","E02001869",2011,564,247,239,65,12,1
"E33018239","E01009219","E02001946",2011,933,450,372,97,11,3
"E33018240","E01009232","E02001848",2011,452,198,203,43,8,0
"E33018241","E01009222","E02001834",2011,207,96,92,15,3,1
"E33018242","E01009222","E02001834",2011,668,291,295,69,11,2
"E33018243","E01009223","E02001839",2011,930,416,410,84,19,1
"E33018244","E01009239","E02001859",2011,339,142,144,43,10,0
"E33018245","E01009239","E02001859",2011,1179,528,531,103,15,2
"E33018246","E01009239","E02001859",2011,715,279,336,83,13,4
"E33018247","E01009239","E02001859",2011,516,189,246,62,17,2
"E33018248","E01009239","E02001859",2011,864,390,392,68,12,2
"E33018249","E01009240","E02001850",2011,316,131,142,36,7,0
"E33018250","E01009242","E02001850",2011,1210,553,496,137,24,0
"E33018251","E01009284","E02001922",2011,1423,738,551,118,11,5
"E33018252","E01009280","E02001926",2011,687,328,277,64,15,3
"E33018253","E01009281","E02001925",2011,230,110,97,21,1,1
"E33018254","E01009281","E02001925",2011,306,151,125,21,6,3
"E33018255","E01009303","E02001883",2011,633,251,282,85,13,2
"E33018256","E01009306","E02001872",2011,218,92,100,22,3,1
"E33018257","E01009315","E02001907",2011,810,406,332,65,7,0
"E33018258","E01009315","E02001907",2011,560,246,246,63,4,1
"E33018259","E01009320","E02001907",2011,252,112,108,26,6,0
"E33018260","E01009320","E02001907",2011,375,162,171,35,6,1
"E33018261","E01009320","E02001907",2011,247,100,115,29,3,0
"E33018262","E01009320","E02001907",2011,694,349,290,52,3,0
"E33018263","E01009321","E02001895",2011,739,331,314,77,14,3
"E33018264","E01009322","E02001895",2011,994,405,449,118,16,6
"E33018265","E01009322","E02001895",2011,787,363,334,77,12,1
"E33018266","E01009322","E02001895",2011,350,126,150,58,12,4
