"wz11cd","lsoa11cd","msoa11cd","date","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value","Tenure: Owned: Total; measures: Value:value%","Tenure: Owned: Owned outright; measures: Value:value%","Tenure: Owned: Owned with a mortgage or loan; measures: Value:value%","Tenure: Shared ownership (part owned and part rented); measures: Value:value%","Tenure: Social rented: Total; measures: Value:value%","Tenure: Social rented: Rented from council (Local Authority); measures: Value:value%","Tenure: Social rented: Other social rented; measures: Value:value%","Tenure: Private rented: Total; measures: Value:value%","Tenure: Private rented: Private landlord or letting agency; measures: Value:value%","Tenure: Private rented: Employer of a household member; measures: Value:value%","Tenure: Private rented: Relative or friend of household member; measures: Value:value%","Tenure: Private rented: Other; measures: Value:value%","Tenure: Living rent free; measures: Value:value%"
"E33018102","E01008884","E02001904",2011,735,554,169,385,2,94,72,22,83,79,0,1,3,2,75.374149659864,22.9931972789116,52.3809523809524,0.272108843537415,12.7891156462585,9.79591836734694,2.99319727891156,11.2925170068027,10.7482993197279,0,0.136054421768707,0.408163265306122,0.272108843537415
"E33018103","E01008884","E02001904",2011,324,240,59,181,4,32,20,12,45,41,0,4,0,3,74.0740740740741,18.2098765432099,55.8641975308642,1.23456790123457,9.87654320987654,6.17283950617284,3.7037037037037,13.8888888888889,12.6543209876543,0,1.23456790123457,0,0.925925925925926
"E33018104","E01008884","E02001904",2011,703,484,117,367,4,98,68,30,108,104,0,2,2,9,68.8477951635846,16.6429587482219,52.2048364153627,0.568990042674253,13.9402560455192,9.6728307254623,4.2674253200569,15.3627311522048,14.7937411095306,0,0.284495021337127,0.284495021337127,1.28022759601707
"E33018105","E01008884","E02001904",2011,413,316,89,227,5,53,37,16,38,31,0,5,2,1,76.5133171912833,21.5496368038741,54.9636803874092,1.21065375302663,12.8329297820823,8.9588377723971,3.87409200968523,9.20096852300242,7.50605326876513,0,1.21065375302663,0.484261501210654,0.242130750605327
"E33018106","E01008889","E02001904",2011,495,395,117,278,3,42,30,12,52,46,0,6,0,3,79.7979797979798,23.6363636363636,56.1616161616162,0.606060606060606,8.48484848484849,6.06060606060606,2.42424242424242,10.5050505050505,9.29292929292929,0,1.21212121212121,0,0.606060606060606
"E33018107","E01008889","E02001904",2011,228,150,43,107,2,24,18,6,50,46,1,0,3,2,65.7894736842105,18.859649122807,46.9298245614035,0.87719298245614,10.5263157894737,7.89473684210526,2.63157894736842,21.9298245614035,20.1754385964912,0.43859649122807,0,1.31578947368421,0.87719298245614
"E33018108","E01008887","E02001904",2011,522,394,135,259,4,62,52,10,61,60,0,1,0,1,75.4789272030651,25.8620689655172,49.6168582375479,0.766283524904214,11.8773946360153,9.96168582375479,1.91570881226054,11.6858237547893,11.4942528735632,0,0.191570881226054,0,0.191570881226054
"E33018109","E01008889","E02001904",2011,179,132,38,94,2,21,10,11,23,23,0,0,0,1,73.7430167597765,21.2290502793296,52.5139664804469,1.11731843575419,11.731843575419,5.58659217877095,6.14525139664804,12.8491620111732,12.8491620111732,0,0,0,0.558659217877095
"E33018110","E01008889","E02001904",2011,488,359,90,269,2,76,43,33,47,41,1,4,1,4,73.5655737704918,18.4426229508197,55.1229508196721,0.40983606557377,15.5737704918033,8.81147540983607,6.76229508196721,9.63114754098361,8.4016393442623,0.204918032786885,0.819672131147541,0.204918032786885,0.819672131147541
"E33018111","E01008889","E02001904",2011,473,343,112,231,5,53,34,19,68,64,1,3,0,4,72.5158562367865,23.6786469344609,48.8372093023256,1.05708245243129,11.2050739957717,7.18816067653277,4.0169133192389,14.3763213530655,13.5306553911205,0.211416490486258,0.634249471458774,0,0.845665961945032
