"wz11cd","lsoa11cd","msoa11cd","date","Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Highest Level of Qualification: No qualifications; measures: Value","Highest Level of Qualification: Level 1 qualifications; measures: Value","Highest Level of Qualification: Level 2 qualifications; measures: Value","Highest Level of Qualification: Apprenticeship; measures: Value","Highest Level of Qualification: Level 3 qualifications; measures: Value","Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Highest Level of Qualification: Other qualifications; measures: Value","Highest Level of Qualification: No qualifications; measures: Value:value%","Highest Level of Qualification: Level 1 qualifications; measures: Value:value%","Highest Level of Qualification: Level 2 qualifications; measures: Value:value%","Highest Level of Qualification: Apprenticeship; measures: Value:value%","Highest Level of Qualification: Level 3 qualifications; measures: Value:value%","Highest Level of Qualification: Level 4 qualifications and above; measures: Value:value%","Highest Level of Qualification: Other qualifications; measures: Value:value%"
"E33018102","E01008884","E02001904",2011,735,124,156,128,35,111,134,47,16.8707482993197,21.2244897959184,17.4149659863946,4.76190476190476,15.1020408163265,18.2312925170068,6.39455782312925
"E33018103","E01008884","E02001904",2011,324,43,60,57,25,53,69,17,13.2716049382716,18.5185185185185,17.5925925925926,7.71604938271605,16.358024691358,21.2962962962963,5.24691358024691
"E33018104","E01008884","E02001904",2011,704,161,141,137,23,72,108,62,22.8693181818182,20.0284090909091,19.4602272727273,3.26704545454545,10.2272727272727,15.3409090909091,8.80681818181818
"E33018105","E01008884","E02001904",2011,413,81,66,61,33,68,76,28,19.6125907990315,15.9806295399516,14.7699757869249,7.99031476997579,16.4648910411622,18.4019370460048,6.77966101694915
"E33018106","E01008889","E02001904",2011,498,104,85,67,36,61,88,57,20.8835341365462,17.0682730923695,13.4538152610442,7.2289156626506,12.2489959839357,17.6706827309237,11.4457831325301
"E33018107","E01008889","E02001904",2011,228,39,18,28,9,42,57,35,17.1052631578947,7.89473684210526,12.280701754386,3.94736842105263,18.4210526315789,25,15.3508771929825
"E33018108","E01008887","E02001904",2011,522,101,76,49,26,64,179,27,19.3486590038314,14.5593869731801,9.38697318007663,4.98084291187739,12.2605363984674,34.2911877394636,5.17241379310345
"E33018109","E01008889","E02001904",2011,179,38,54,18,3,27,28,11,21.2290502793296,30.1675977653631,10.0558659217877,1.67597765363128,15.0837988826816,15.6424581005587,6.14525139664804
"E33018110","E01008889","E02001904",2011,490,86,121,79,31,52,85,36,17.5510204081633,24.6938775510204,16.1224489795918,6.3265306122449,10.6122448979592,17.3469387755102,7.3469387755102
"E33018111","E01008889","E02001904",2011,473,73,94,88,43,54,85,36,15.4334038054968,19.8731501057082,18.6046511627907,9.09090909090909,11.4164904862579,17.9704016913319,7.61099365750529
"E33018112","E01008889","E02001904",2011,623,118,135,102,9,77,146,36,18.9406099518459,21.669341894061,16.3723916532905,1.4446227929374,12.3595505617978,23.4349919743178,5.7784911717496
"E33018113","E01008910","E02001876",2011,481,71,73,85,27,78,128,19,14.7609147609148,15.1767151767152,17.6715176715177,5.61330561330561,16.2162162162162,26.6112266112266,3.95010395010395
"E33018114","E01008910","E02001876",2011,2456,284,600,502,64,310,555,141,11.5635179153094,24.4299674267101,20.4397394136808,2.60586319218241,12.6221498371336,22.5977198697068,5.74104234527687
"E33018115","E01033638","E02001875",2011,821,149,158,161,21,94,172,66,18.1485992691839,19.2448233861145,19.6102314250913,2.557856272838,11.4494518879415,20.9500609013398,8.03897685749087
"E33018116","E01008913","E02001876",2011,363,68,68,68,13,36,79,31,18.732782369146,18.732782369146,18.732782369146,3.58126721763085,9.91735537190083,21.763085399449,8.53994490358127
"E33018117","E01008899","E02001863",2011,383,99,73,51,18,32,51,59,25.8485639686684,19.0600522193212,13.3159268929504,4.69973890339426,8.35509138381201,13.3159268929504,15.4046997389034
"E33018118","E01008899","E02001863",2011,256,36,37,37,13,26,78,29,14.0625,14.453125,14.453125,5.078125,10.15625,30.46875,11.328125
"E33018119","E01008899","E02001863",2011,452,71,108,91,16,87,58,21,15.7079646017699,23.8938053097345,20.1327433628319,3.53982300884956,19.2477876106195,12.8318584070796,4.64601769911504
"E33018120","E01008899","E02001863",2011,465,93,95,74,51,67,56,29,20,20.4301075268817,15.9139784946237,10.9677419354839,14.4086021505376,12.0430107526882,6.23655913978495
"E33018121","E01008901","E02001863",2011,659,62,95,140,13,142,180,27,9.4081942336874,14.4157814871017,21.2443095599393,1.97268588770865,21.5477996965099,27.3141122913505,4.09711684370258
"E33018122","E01008901","E02001863",2011,667,55,104,100,15,74,289,30,8.24587706146927,15.592203898051,14.9925037481259,2.24887556221889,11.0944527736132,43.328335832084,4.49775112443778
"E33018123","E01008901","E02001863",2011,314,47,55,43,7,29,109,24,14.968152866242,17.515923566879,13.6942675159236,2.22929936305732,9.23566878980892,34.7133757961783,7.64331210191083
"E33018124","E01008901","E02001863",2011,509,45,93,99,16,70,168,18,8.84086444007858,18.2711198428291,19.4499017681729,3.1434184675835,13.7524557956778,33.0058939096267,3.53634577603143
"E33018125","E01008901","E02001863",2011,471,80,94,75,37,65,83,37,16.9851380042463,19.9575371549894,15.9235668789809,7.85562632696391,13.8004246284501,17.6220806794055,7.85562632696391
