"wz11cd","lsoa11cd","msoa11cd","date","Employment Status: All categories: Employment status; measures: Value","Employment Status: Employee: Part-time; measures: Value","Employment Status: Employee: Full-time; measures: Value","Employment Status: Self-employed with employees: Part-time; measures: Value","Employment Status: Self-employed with employees: Full-time; measures: Value","Employment Status: Self-employed without employees: Part-time; measures: Value","Employment Status: Self-employed without employees: Full-time; measures: Value","Employment Status: Full-time student; measures: Value","Employment Status: Employee: Part-time; measures: Value:value%","Employment Status: Employee: Full-time; measures: Value:value%","Employment Status: Self-employed with employees: Part-time; measures: Value:value%","Employment Status: Self-employed with employees: Full-time; measures: Value:value%","Employment Status: Self-employed without employees: Part-time; measures: Value:value%","Employment Status: Self-employed without employees: Full-time; measures: Value:value%","Employment Status: Full-time student; measures: Value:value%"
"E33018102","E01008884","E02001904",2011,735,132,487,3,27,14,38,34,17.9591836734694,66.2585034013605,0.408163265306122,3.6734693877551,1.9047619047619,5.17006802721088,4.62585034013605
"E33018103","E01008884","E02001904",2011,324,59,230,3,4,2,11,15,18.2098765432099,70.9876543209877,0.925925925925926,1.23456790123457,0.617283950617284,3.39506172839506,4.62962962962963
"E33018104","E01008884","E02001904",2011,704,64,538,0,29,1,59,13,9.09090909090909,76.4204545454545,0,4.11931818181818,0.142045454545455,8.38068181818182,1.84659090909091
"E33018105","E01008884","E02001904",2011,413,61,326,3,5,1,12,5,14.7699757869249,78.9346246973366,0.726392251815981,1.21065375302663,0.242130750605327,2.90556900726392,1.21065375302663
"E33018106","E01008889","E02001904",2011,498,67,410,2,6,2,7,4,13.4538152610442,82.3293172690763,0.401606425702811,1.20481927710843,0.401606425702811,1.40562248995984,0.803212851405622
"E33018107","E01008889","E02001904",2011,228,57,148,2,5,5,8,3,25,64.9122807017544,0.87719298245614,2.19298245614035,2.19298245614035,3.50877192982456,1.31578947368421
"E33018108","E01008887","E02001904",2011,522,58,399,6,16,8,18,17,11.1111111111111,76.4367816091954,1.14942528735632,3.06513409961686,1.53256704980843,3.44827586206897,3.25670498084291
"E33018109","E01008889","E02001904",2011,179,21,137,0,8,0,11,2,11.731843575419,76.536312849162,0,4.46927374301676,0,6.14525139664804,1.11731843575419
"E33018110","E01008889","E02001904",2011,490,35,429,0,12,0,11,3,7.14285714285714,87.5510204081633,0,2.44897959183673,0,2.24489795918367,0.612244897959184
"E33018111","E01008889","E02001904",2011,473,49,358,5,18,6,35,2,10.3594080338266,75.6871035940803,1.05708245243129,3.80549682875264,1.26849894291755,7.39957716701903,0.422832980972516
"E33018112","E01008889","E02001904",2011,623,107,360,17,40,23,53,23,17.1749598715891,57.784911717496,2.72873194221509,6.42054574638844,3.69181380417336,8.50722311396469,3.69181380417336
"E33018113","E01008910","E02001876",2011,481,48,407,3,11,0,5,7,9.97920997920998,84.6153846153846,0.623700623700624,2.28690228690229,0,1.03950103950104,1.45530145530146
"E33018114","E01008910","E02001876",2011,2456,452,1892,5,11,7,24,65,18.4039087947883,77.0358306188925,0.203583061889251,0.447882736156352,0.285016286644951,0.977198697068404,2.64657980456026
"E33018115","E01033638","E02001875",2011,821,170,582,6,11,27,18,7,20.7064555420219,70.8891595615104,0.730816077953715,1.33982947624848,3.28867235079172,2.19244823386114,0.852618757612667
"E33018116","E01008913","E02001876",2011,363,33,311,1,6,2,7,3,9.09090909090909,85.6749311294766,0.275482093663912,1.65289256198347,0.550964187327824,1.92837465564738,0.826446280991736
"E33018117","E01008899","E02001863",2011,383,52,315,2,6,1,1,6,13.5770234986945,82.2454308093995,0.522193211488251,1.56657963446475,0.261096605744125,0.261096605744125,1.56657963446475
"E33018118","E01008899","E02001863",2011,256,45,189,1,8,2,6,5,17.578125,73.828125,0.390625,3.125,0.78125,2.34375,1.953125
"E33018119","E01008899","E02001863",2011,452,37,399,0,3,1,7,5,8.1858407079646,88.2743362831858,0,0.663716814159292,0.221238938053097,1.54867256637168,1.10619469026549
"E33018120","E01008899","E02001863",2011,465,63,336,4,26,6,22,8,13.5483870967742,72.258064516129,0.860215053763441,5.59139784946237,1.29032258064516,4.73118279569892,1.72043010752688
"E33018121","E01008901","E02001863",2011,659,194,302,5,3,6,5,144,29.4385432473445,45.8270106221548,0.758725341426404,0.455235204855842,0.910470409711684,0.758725341426404,21.8512898330804
"E33018122","E01008901","E02001863",2011,667,70,551,3,8,10,14,11,10.4947526236882,82.6086956521739,0.449775112443778,1.19940029985008,1.49925037481259,2.09895052473763,1.64917541229385
"E33018123","E01008901","E02001863",2011,314,110,182,0,3,6,9,4,35.031847133758,57.9617834394904,0,0.955414012738854,1.91082802547771,2.86624203821656,1.27388535031847
"E33018124","E01008901","E02001863",2011,509,60,419,2,4,1,17,6,11.7878192534381,82.3182711198428,0.392927308447937,0.785854616895874,0.196463654223969,3.33988212180747,1.17878192534381
"E33018125","E01008901","E02001863",2011,471,38,392,0,6,5,21,9,8.06794055201699,83.2271762208068,0,1.27388535031847,1.06157112526539,4.45859872611465,1.91082802547771
"E33018126","E01008917","E02001928",2011,261,11,212,3,1,21,9,4,4.21455938697318,81.2260536398467,1.14942528735632,0.383141762452107,8.04597701149425,3.44827586206897,1.53256704980843
"E33018127","E01008961","E02001942",2011,356,78,243,1,7,1,7,19,21.9101123595506,68.2584269662921,0.280898876404494,1.96629213483146,0.280898876404494,1.96629213483146,5.33707865168539
"E33018128","E01008961","E02001942",2011,371,150,160,3,15,5,9,29,40.4312668463612,43.1266846361186,0.808625336927224,4.04312668463612,1.34770889487871,2.42587601078167,7.8167115902965
"E33018129","E01008950","E02001939",2011,771,104,648,0,1,2,8,8,13.4889753566796,84.0466926070039,0,0.12970168612192,0.259403372243839,1.03761348897536,1.03761348897536
"E33018130","E01008991","E02001890",2011,794,162,556,4,10,15,10,37,20.4030226700252,70.0251889168766,0.503778337531486,1.25944584382872,1.88916876574307,1.25944584382872,4.65994962216625
"E33018131","E01008994","E02001900",2011,935,132,776,0,6,0,8,13,14.1176470588235,82.9946524064171,0,0.641711229946524,0,0.855614973262032,1.3903743315508
"E33018132","E01008994","E02001900",2011,333,55,256,1,8,2,5,6,16.5165165165165,76.8768768768769,0.3003003003003,2.4024024024024,0.600600600600601,1.5015015015015,1.8018018018018
"E33018133","E01008994","E02001900",2011,739,142,575,1,2,9,4,6,19.2151556156969,77.807848443843,0.13531799729364,0.27063599458728,1.21786197564276,0.54127198917456,0.81190798376184
"E33018134","E01008994","E02001900",2011,206,53,132,3,2,2,1,13,25.7281553398058,64.0776699029126,1.45631067961165,0.970873786407767,0.970873786407767,0.485436893203883,6.31067961165049
"E33018135","E01008994","E02001900",2011,308,33,241,2,16,0,5,11,10.7142857142857,78.2467532467532,0.649350649350649,5.1948051948052,0,1.62337662337662,3.57142857142857
"E33018136","E01008990","E02001890",2011,741,73,633,1,7,0,14,13,9.85155195681511,85.4251012145749,0.134952766531714,0.944669365721997,0,1.88933873144399,1.75438596491228
"E33018137","E01008990","E02001890",2011,251,53,144,2,11,14,14,13,21.1155378486056,57.3705179282869,0.796812749003984,4.38247011952191,5.57768924302789,5.57768924302789,5.1792828685259
"E33018138","E01008990","E02001890",2011,415,68,310,0,17,4,5,11,16.3855421686747,74.6987951807229,0,4.09638554216868,0.963855421686747,1.20481927710843,2.65060240963855
"E33018139","E01008990","E02001890",2011,1722,352,1277,2,17,8,13,53,20.4413472706156,74.1579558652729,0.116144018583043,0.987224157955865,0.464576074332172,0.754936120789779,3.07781649245064
"E33018140","E01008990","E02001890",2011,564,131,372,0,20,3,10,28,23.2269503546099,65.9574468085106,0,3.54609929078014,0.531914893617021,1.77304964539007,4.9645390070922
"E33018141","E01008988","E02001890",2011,392,92,267,2,12,2,5,12,23.469387755102,68.1122448979592,0.510204081632653,3.06122448979592,0.510204081632653,1.27551020408163,3.06122448979592
"E33018142","E01033631","E02001905",2011,7744,1165,5328,4,13,44,55,1135,15.0439049586777,68.801652892562,0.0516528925619835,0.167871900826446,0.568181818181818,0.710227272727273,14.6565082644628
"E33018143","E01033631","E02001905",2011,210,56,148,0,0,0,1,5,26.6666666666667,70.4761904761905,0,0,0,0.476190476190476,2.38095238095238
"E33018144","E01033631","E02001905",2011,373,60,272,2,1,8,11,19,16.0857908847185,72.9222520107239,0.536193029490617,0.268096514745308,2.14477211796247,2.94906166219839,5.09383378016086
"E33018145","E01009007","E02001849",2011,233,88,120,2,9,2,3,9,37.7682403433476,51.5021459227468,0.858369098712446,3.86266094420601,0.858369098712446,1.28755364806867,3.86266094420601
"E33018146","E01009007","E02001849",2011,282,94,147,3,12,6,9,11,33.3333333333333,52.1276595744681,1.06382978723404,4.25531914893617,2.12765957446809,3.19148936170213,3.90070921985816
"E33018147","E01009007","E02001849",2011,384,140,187,6,8,12,13,18,36.4583333333333,48.6979166666667,1.5625,2.08333333333333,3.125,3.38541666666667,4.6875
"E33018148","E01009007","E02001849",2011,487,104,369,1,0,5,5,3,21.3552361396304,75.7700205338809,0.205338809034908,0,1.02669404517454,1.02669404517454,0.616016427104723
"E33018149","E01009007","E02001849",2011,507,114,379,0,2,1,3,8,22.4852071005917,74.7534516765286,0,0.394477317554241,0.19723865877712,0.591715976331361,1.57790927021696
"E33018150","E01009007","E02001849",2011,271,47,201,2,6,3,7,5,17.3431734317343,74.169741697417,0.738007380073801,2.2140221402214,1.1070110701107,2.5830258302583,1.8450184501845
"E33018151","E01009007","E02001849",2011,398,118,234,2,14,2,7,21,29.6482412060301,58.7939698492462,0.50251256281407,3.51758793969849,0.50251256281407,1.75879396984925,5.27638190954774
"E33018152","E01009007","E02001849",2011,407,169,175,0,12,2,12,37,41.5233415233415,42.997542997543,0,2.94840294840295,0.491400491400491,2.94840294840295,9.09090909090909
