"wz11cd","lsoa11cd","msoa11cd","date","Hours Worked: All categories: Hours worked; measures: Value","Hours Worked: Part-time: Total; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: Total; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value"
"E33018102","E01008884","E02001904",2011,735,177,62,115,558,478,80
"E33018103","E01008884","E02001904",2011,324,77,30,47,247,198,49
"E33018104","E01008884","E02001904",2011,704,69,23,46,635,552,83
"E33018105","E01008884","E02001904",2011,413,69,13,56,344,308,36
"E33018106","E01008889","E02001904",2011,498,73,11,62,425,368,57
"E33018107","E01008889","E02001904",2011,228,67,7,60,161,136,25
"E33018108","E01008887","E02001904",2011,522,81,20,61,441,361,80
"E33018109","E01008889","E02001904",2011,179,23,3,20,156,122,34
"E33018110","E01008889","E02001904",2011,490,37,11,26,453,392,61
"E33018111","E01008889","E02001904",2011,473,61,20,41,412,326,86
"E33018112","E01008889","E02001904",2011,623,161,45,116,462,391,71
"E33018113","E01008910","E02001876",2011,481,54,14,40,427,376,51
"E33018114","E01008910","E02001876",2011,2456,499,109,390,1957,1663,294
"E33018115","E01033638","E02001875",2011,821,207,32,175,614,575,39
"E33018116","E01008913","E02001876",2011,363,37,18,19,326,288,38
"E33018117","E01008899","E02001863",2011,383,58,11,47,325,282,43
"E33018118","E01008899","E02001863",2011,256,51,13,38,205,182,23
"E33018119","E01008899","E02001863",2011,452,40,16,24,412,363,49
"E33018120","E01008899","E02001863",2011,465,76,20,56,389,327,62
"E33018121","E01008901","E02001863",2011,659,343,224,119,316,277,39
"E33018122","E01008901","E02001863",2011,667,91,19,72,576,503,73
"E33018123","E01008901","E02001863",2011,314,118,29,89,196,154,42
"E33018124","E01008901","E02001863",2011,509,66,6,60,443,379,64
"E33018125","E01008901","E02001863",2011,471,49,16,33,422,353,69
"E33018126","E01008917","E02001928",2011,261,36,4,32,225,204,21
"E33018127","E01008961","E02001942",2011,356,90,16,74,266,249,17
"E33018128","E01008961","E02001942",2011,371,185,58,127,186,162,24
"E33018129","E01008950","E02001939",2011,771,111,18,93,660,570,90
"E33018130","E01008991","E02001890",2011,794,209,44,165,585,538,47
"E33018131","E01008994","E02001900",2011,935,143,31,112,792,717,75
"E33018132","E01008994","E02001900",2011,333,61,5,56,272,242,30
"E33018133","E01008994","E02001900",2011,739,154,24,130,585,562,23
"E33018134","E01008994","E02001900",2011,206,67,11,56,139,136,3
"E33018135","E01008994","E02001900",2011,308,38,5,33,270,238,32
"E33018136","E01008990","E02001890",2011,741,80,17,63,661,596,65
"E33018137","E01008990","E02001890",2011,251,77,23,54,174,147,27
"E33018138","E01008990","E02001890",2011,415,78,21,57,337,301,36
"E33018139","E01008990","E02001890",2011,1722,403,70,333,1319,1187,132
"E33018140","E01008990","E02001890",2011,564,154,42,112,410,355,55
"E33018141","E01008988","E02001890",2011,392,105,15,90,287,259,28
"E33018142","E01033631","E02001905",2011,7744,2108,1144,964,5636,4537,1099
"E33018143","E01033631","E02001905",2011,210,59,20,39,151,114,37
"E33018144","E01033631","E02001905",2011,373,86,35,51,287,265,22
"E33018145","E01009007","E02001849",2011,233,99,20,79,134,117,17
"E33018146","E01009007","E02001849",2011,282,113,22,91,169,140,29
"E33018147","E01009007","E02001849",2011,384,173,43,130,211,189,22
"E33018148","E01009007","E02001849",2011,487,112,8,104,375,356,19
