"wz11cd","lsoa11cd","msoa11cd","date","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E33018102","E01008884","E02001904",2011,735,0,0,212,2,10,2,7,108,21,62,5,121,50,167,29,18,8,15,4,20,31,10,11,15,19,0,0
"E33018103","E01008884","E02001904",2011,324,0,0,42,1,1,0,1,1,13,25,1,1,110,77,17,12,19,6,1,6,17,1,5,3,6,0,0
"E33018104","E01008884","E02001904",2011,704,0,0,334,2,5,1,6,18,108,194,4,3,176,53,23,11,0,2,1,25,26,3,1,6,36,0,0
"E33018105","E01008884","E02001904",2011,413,1,0,72,0,1,7,5,25,9,25,0,3,133,100,5,5,2,1,15,4,18,23,4,4,23,0,0
"E33018106","E01008889","E02001904",2011,498,0,0,285,2,0,0,3,18,151,111,1,2,18,32,99,5,4,0,1,8,25,4,4,6,4,0,0
"E33018107","E01008889","E02001904",2011,228,0,0,81,33,0,0,0,14,19,15,2,9,12,25,15,15,39,0,2,7,3,2,3,5,8,0,0
"E33018108","E01008887","E02001904",2011,522,0,0,98,1,1,2,2,20,37,35,1,11,47,97,69,7,0,3,4,86,3,1,86,5,4,0,0
"E33018109","E01008889","E02001904",2011,179,0,0,46,0,1,8,2,8,9,18,0,2,8,85,5,7,3,2,0,1,4,1,2,13,0,0,0
"E33018110","E01008889","E02001904",2011,490,0,1,172,1,1,0,4,38,111,17,1,82,52,44,18,3,12,1,2,10,28,35,6,18,5,0,0
"E33018111","E01008889","E02001904",2011,473,1,0,156,0,1,4,4,29,96,22,1,4,78,86,31,12,8,2,2,16,53,2,4,8,9,0,0
"E33018112","E01008889","E02001904",2011,623,0,0,54,2,1,3,2,12,11,23,1,16,78,99,57,11,29,41,74,37,53,8,26,33,6,0,0
"E33018113","E01008910","E02001876",2011,481,0,0,179,2,0,20,4,64,74,15,2,4,21,78,15,3,1,3,7,7,13,30,31,84,3,0,0
"E33018114","E01008910","E02001876",2011,2456,4,0,97,7,0,1,4,31,39,15,1,6,18,97,1205,38,17,59,12,24,61,586,37,170,24,0,0
"E33018115","E01033638","E02001875",2011,821,0,0,133,1,0,0,4,69,20,39,2,0,36,416,129,13,6,13,4,3,11,6,16,20,13,0,0
"E33018116","E01008913","E02001876",2011,363,0,0,208,3,2,0,2,33,141,27,0,0,11,32,39,7,13,2,5,10,21,4,5,5,1,0,0
"E33018117","E01008899","E02001863",2011,383,0,0,257,6,0,7,20,94,96,34,0,7,8,48,16,15,3,1,1,6,10,2,2,5,2,0,0
"E33018118","E01008899","E02001863",2011,256,1,0,139,0,0,0,11,14,83,31,0,0,3,47,2,12,5,0,1,30,1,2,2,8,3,0,0
"E33018119","E01008899","E02001863",2011,452,0,0,68,2,1,7,4,6,38,10,1,0,21,210,34,8,78,1,0,5,10,3,4,4,5,0,0
"E33018120","E01008899","E02001863",2011,465,0,0,188,3,2,3,10,93,44,33,1,4,45,123,34,5,2,5,3,17,21,4,4,2,7,0,0
"E33018121","E01008901","E02001863",2011,659,0,0,9,0,1,0,1,2,2,3,0,0,11,19,8,66,2,3,1,4,18,6,48,17,447,0,0
"E33018122","E01008901","E02001863",2011,667,0,0,39,2,0,1,2,3,18,13,0,2,16,224,25,21,52,2,4,88,22,97,9,56,10,0,0
