"wz11cd","lsoa11cd","msoa11cd","date","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: L15 Full-time students; measures: Value"
"E33018102","E01008884","E02001904",2011,735,65,32,0,32,33,21,7,4,1,115,49,28,14,5,2,50,16,85,56,18,9,2,69,28,27,1,41,40,1,112,60,52,51,1,110,36,14,25,28,0,7,0,145,3,13,53,76,0,34
"E33018103","E01008884","E02001904",2011,324,32,11,0,11,21,10,11,0,0,57,24,13,11,0,0,31,2,43,33,4,2,4,20,7,7,0,13,13,0,31,15,16,16,0,82,30,11,25,9,0,7,0,44,1,8,22,13,0,15
"E33018104","E01008884","E02001904",2011,704,59,28,0,28,31,9,18,2,2,95,54,38,11,4,1,26,15,66,45,10,10,1,80,27,27,0,53,53,0,77,36,41,36,5,119,3,9,53,44,0,10,0,195,0,34,89,70,2,13
"E33018105","E01008884","E02001904",2011,413,35,13,0,13,22,11,8,2,1,100,41,32,9,0,0,49,10,48,39,6,0,3,18,8,8,0,10,10,0,50,21,29,29,0,62,24,1,10,22,0,5,0,95,0,17,50,28,0,5
"E33018106","E01008889","E02001904",2011,498,53,13,0,13,40,33,7,0,0,63,31,23,6,2,0,19,13,23,18,2,3,0,15,8,8,0,7,7,0,68,24,44,34,10,162,7,68,30,49,0,8,0,110,1,18,39,52,0,4
"E33018107","E01008889","E02001904",2011,228,47,6,0,6,41,13,28,0,0,39,26,21,3,2,0,8,5,24,12,2,3,7,18,7,7,0,11,11,0,14,5,9,6,3,37,2,5,6,23,0,1,0,46,2,14,13,16,1,3
"E33018108","E01008887","E02001904",2011,522,117,10,0,10,107,86,9,11,1,98,53,49,3,0,1,30,15,54,35,13,4,2,35,15,15,0,20,20,0,46,18,28,27,1,56,2,7,15,16,0,13,3,99,3,27,40,29,0,17
"E33018109","E01008889","E02001904",2011,179,13,12,0,12,1,0,1,0,0,30,12,7,4,1,0,12,6,26,11,13,1,1,18,8,8,0,10,10,0,14,3,11,11,0,37,17,5,8,3,0,4,0,39,1,4,20,14,0,2
"E33018110","E01008889","E02001904",2011,490,51,25,0,25,26,13,12,1,0,84,37,23,13,0,1,28,19,59,47,8,1,3,21,11,11,0,10,10,0,71,34,37,31,6,62,1,8,17,26,0,10,0,139,1,6,34,98,0,3
"E33018111","E01008889","E02001904",2011,473,50,16,0,16,34,19,14,0,1,85,38,25,10,1,2,36,11,63,44,8,3,8,60,22,22,0,38,38,0,53,20,33,28,5,91,4,16,42,25,0,4,0,69,5,10,30,24,0,2
"E33018112","E01008889","E02001904",2011,623,60,24,0,24,36,15,13,2,6,139,89,49,26,12,2,37,13,88,66,16,2,4,110,47,47,0,63,62,1,37,25,12,12,0,86,28,26,10,10,1,11,0,80,3,3,37,37,0,23
"E33018113","E01008910","E02001876",2011,481,60,21,0,21,39,32,6,1,0,131,90,75,13,2,0,23,18,49,24,19,4,2,16,14,14,0,2,2,0,57,22,35,31,4,88,6,13,34,27,0,8,0,73,1,10,38,24,0,7
