"wz11cd","lsoa11cd","msoa11cd","date","Social Grade: All categories: Approximated social grade; measures: Value","Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value","Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value","Social Grade: C2 Skilled manual occupations; measures: Value","Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value"
"E33018102","E01008884","E02001904",2011,706,105,174,202,225
"E33018103","E01008884","E02001904",2011,320,68,88,98,66
"E33018104","E01008884","E02001904",2011,684,76,176,216,216
"E33018105","E01008884","E02001904",2011,396,67,124,114,91
"E33018106","E01008889","E02001904",2011,490,62,101,181,146
"E33018107","E01008889","E02001904",2011,224,48,55,47,74
"E33018108","E01008887","E02001904",2011,504,137,138,100,129
"E33018109","E01008889","E02001904",2011,172,16,52,47,57
"E33018110","E01008889","E02001904",2011,480,69,118,138,155
"E33018111","E01008889","E02001904",2011,458,73,120,157,108
"E33018112","E01008889","E02001904",2011,610,96,189,134,191
"E33018113","E01008910","E02001876",2011,471,83,162,129,97
"E33018114","E01008910","E02001876",2011,2439,310,766,873,490
"E33018115","E01033638","E02001875",2011,791,104,260,180,247
"E33018116","E01008913","E02001876",2011,349,52,103,92,102
"E33018117","E01008899","E02001863",2011,373,47,74,128,124
"E33018118","E01008899","E02001863",2011,249,59,52,82,56
"E33018119","E01008899","E02001863",2011,449,47,167,81,154
"E33018120","E01008899","E02001863",2011,438,59,123,141,115
"E33018121","E01008901","E02001863",2011,627,104,239,152,132
"E33018122","E01008901","E02001863",2011,654,187,256,104,107
"E33018123","E01008901","E02001863",2011,297,78,68,76,75
"E33018124","E01008901","E02001863",2011,502,120,233,60,89
"E33018125","E01008901","E02001863",2011,457,85,127,128,117
"E33018126","E01008917","E02001928",2011,253,39,44,89,81
"E33018127","E01008961","E02001942",2011,354,50,137,81,86
"E33018128","E01008961","E02001942",2011,363,56,114,81,112
"E33018129","E01008950","E02001939",2011,765,104,524,78,59
"E33018130","E01008991","E02001890",2011,772,285,264,117,106
"E33018131","E01008994","E02001900",2011,927,355,370,109,93
"E33018132","E01008994","E02001900",2011,325,110,118,48,49
"E33018133","E01008994","E02001900",2011,720,122,443,66,89
"E33018134","E01008994","E02001900",2011,197,29,72,44,52
"E33018135","E01008994","E02001900",2011,303,126,132,18,27
"E33018136","E01008990","E02001890",2011,735,294,313,76,52
"E33018137","E01008990","E02001890",2011,242,75,86,37,44
"E33018138","E01008990","E02001890",2011,407,193,143,43,28
"E33018139","E01008990","E02001890",2011,1705,522,725,215,243
"E33018140","E01008990","E02001890",2011,550,161,233,74,82
"E33018141","E01008988","E02001890",2011,385,115,130,83,57
"E33018142","E01033631","E02001905",2011,7452,3906,2372,640,534
"E33018143","E01033631","E02001905",2011,205,99,55,21,30
"E33018144","E01033631","E02001905",2011,356,74,182,49,51
"E33018145","E01009007","E02001849",2011,232,36,92,40,64
"E33018146","E01009007","E02001849",2011,278,37,93,55,93
"E33018147","E01009007","E02001849",2011,376,65,117,81,113
"E33018148","E01009007","E02001849",2011,480,59,277,82,62
"E33018149","E01009007","E02001849",2011,502,144,218,75,65
"E33018150","E01009007","E02001849",2011,265,32,170,28,35
"E33018151","E01009007","E02001849",2011,392,40,69,80,203
"E33018152","E01009007","E02001849",2011,394,58,119,85,132
"E33018153","E01009014","E02001916",2011,1000,401,328,144,127
"E33018154","E01009026","E02001916",2011,360,131,88,84,57
"E33018155","E01033641","E02006901",2011,333,82,95,83,73
"E33018156","E01009015","E02001915",2011,307,112,68,75,52
"E33018157","E01009045","E02001923",2011,404,162,88,91,63
"E33018158","E01009069","E02001901",2011,472,130,139,93,110
"E33018159","E01009069","E02001901",2011,245,53,87,50,55
"E33018160","E01009098","E02001851",2011,834,158,164,268,244
"E33018161","E01009102","E02001854",2011,1547,270,461,291,525
"E33018162","E01009102","E02001854",2011,1142,132,330,269,411
"E33018163","E01009102","E02001854",2011,377,74,102,83,118
"E33018164","E01009102","E02001854",2011,573,90,182,176,125
"E33018165","E01009102","E02001854",2011,306,44,106,70,86
"E33018166","E01009102","E02001854",2011,293,49,79,92,73
"E33018167","E01009102","E02001854",2011,1470,495,568,206,201
"E33018168","E01009102","E02001854",2011,1008,136,246,244,382
"E33018169","E01009101","E02001855",2011,695,91,209,162,233
"E33018170","E01009101","E02001855",2011,2765,279,477,895,1114
"E33018171","E01009101","E02001855",2011,524,75,103,191,155
"E33018172","E01009119","E02001949",2011,245,19,64,70,92
"E33018173","E01009119","E02001949",2011,264,66,86,49,63
"E33018174","E01009119","E02001949",2011,651,123,240,135,153
"E33018175","E01009119","E02001949",2011,378,80,117,119,62
"E33018176","E01009119","E02001949",2011,727,161,249,159,158
"E33018177","E01009116","E02001953",2011,946,212,235,226,273
"E33018178","E01033627","E02006898",2011,3528,1451,1271,394,412
"E33018179","E01033627","E02006898",2011,358,126,123,60,49
"E33018180","E01033622","E02006899",2011,1608,530,556,271,251
"E33018181","E01033627","E02006898",2011,365,181,114,27,43
"E33018182","E01033627","E02006898",2011,990,302,372,138,178
"E33018183","E01033627","E02006898",2011,1127,427,378,189,133
"E33018184","E01009146","E02006897",2011,239,28,83,53,75
"E33018185","E01009146","E02006897",2011,361,93,150,48,70
"E33018186","E01009146","E02006897",2011,370,49,151,66,104
"E33018187","E01009146","E02006897",2011,2417,579,1080,369,389
"E33018188","E01033639","E02006897",2011,361,81,199,47,34
"E33018189","E01033639","E02006897",2011,348,27,188,45,88
"E33018190","E01033639","E02006897",2011,733,176,372,77,108
"E33018191","E01033639","E02006897",2011,521,72,159,101,189
"E33018192","E01033639","E02006897",2011,422,106,223,51,42
"E33018193","E01033639","E02006897",2011,586,181,292,46,67
"E33018194","E01033623","E02006899",2011,659,176,276,107,100
"E33018195","E01009159","E02001956",2011,1176,239,383,283,271
"E33018196","E01009159","E02001956",2011,688,122,175,146,245
"E33018197","E01009184","E02001918",2011,1181,299,380,248,254
"E33018198","E01009188","E02001918",2011,452,94,217,63,78
"E33018199","E01009178","E02001930",2011,528,121,123,114,170
"E33018200","E01009178","E02001930",2011,482,86,196,81,119
"E33018201","E01009178","E02001930",2011,381,40,95,87,159
"E33018202","E01009203","E02001869",2011,782,126,233,236,187
"E33018203","E01009199","E02001878",2011,791,108,282,168,233
"E33018204","E01009204","E02001878",2011,282,43,92,68,79
"E33018205","E01009204","E02001878",2011,310,56,95,94,65
"E33018206","E01009204","E02001878",2011,354,31,80,149,94
"E33018207","E01009204","E02001878",2011,247,29,83,83,52
"E33018208","E01033644","E02001878",2011,206,32,47,50,77
"E33018209","E01033644","E02001878",2011,256,23,40,103,90
"E33018210","E01033644","E02001878",2011,917,100,252,215,350
"E33018211","E01009194","E02001877",2011,323,87,77,65,94
"E33018212","E01009198","E02001884",2011,273,25,79,87,82
"E33018213","E01009198","E02001884",2011,290,26,62,82,120
"E33018214","E01009198","E02001884",2011,261,42,51,49,119
"E33018215","E01009198","E02001884",2011,323,86,69,74,94
"E33018216","E01009200","E02006900",2011,191,32,76,50,33
"E33018217","E01009200","E02006900",2011,234,64,71,36,63
"E33018218","E01009200","E02006900",2011,409,77,136,72,124
"E33018219","E01009200","E02006900",2011,724,32,118,362,212
"E33018220","E01009200","E02006900",2011,279,45,81,79,74
"E33018221","E01009200","E02006900",2011,296,119,70,67,40
