"wz11cd","lsoa11cd","msoa11cd","date","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: No fixed place; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E33018102","E01008884","E02001904",2011,735,88,189,204,110,54,21,14,28,10,17,9354.3,13.2
"E33018103","E01008884","E02001904",2011,324,31,72,74,47,45,9,5,33,3,5,7937.3,25.1
"E33018104","E01008884","E02001904",2011,704,86,182,172,124,70,5,28,35,0,2,10201.9,14.5
"E33018105","E01008884","E02001904",2011,413,54,144,141,49,15,2,3,5,0,0,3344,8.1
"E33018106","E01008889","E02001904",2011,498,86,193,114,68,24,4,3,6,0,0,4134.7,8.3
"E33018107","E01008889","E02001904",2011,228,30,71,56,22,16,1,2,9,14,7,2305.8,11.1
"E33018108","E01008887","E02001904",2011,522,60,157,153,80,38,9,9,9,3,4,5716.7,11.1
"E33018109","E01008889","E02001904",2011,179,34,34,44,27,14,3,3,4,7,9,1872.8,11.5
"E33018110","E01008889","E02001904",2011,490,44,168,143,64,32,14,13,10,1,1,5543.6,11.4
"E33018111","E01008889","E02001904",2011,473,35,148,144,79,40,7,3,17,0,0,6347.2,13.4
"E33018112","E01008889","E02001904",2011,623,66,184,176,77,47,6,7,60,0,0,14480.3,23.2
"E33018113","E01008910","E02001876",2011,481,7,89,212,123,28,8,4,10,0,0,5832.3,12.1
"E33018114","E01008910","E02001876",2011,2456,114,474,956,627,159,43,41,42,0,0,28361.2,11.5
"E33018115","E01033638","E02001875",2011,821,89,160,279,121,40,21,12,95,1,3,20449.2,25
"E33018116","E01008913","E02001876",2011,363,27,76,120,71,33,12,5,8,7,4,4698.6,13.3
"E33018117","E01008899","E02001863",2011,383,18,81,153,91,28,2,7,3,0,0,3940.8,10.3
"E33018118","E01008899","E02001863",2011,256,20,65,73,61,15,5,3,5,2,7,2906.3,11.8
"E33018119","E01008899","E02001863",2011,452,37,121,111,107,26,10,6,29,0,5,7600.5,17
"E33018120","E01008899","E02001863",2011,465,19,87,165,127,35,9,10,13,0,0,7014.3,15.1
"E33018121","E01008901","E02001863",2011,659,55,184,209,117,37,13,14,21,3,6,8412.3,12.9
"E33018122","E01008901","E02001863",2011,667,14,113,250,147,60,32,22,27,0,2,10753.1,16.2
"E33018123","E01008901","E02001863",2011,314,37,88,87,62,16,6,6,1,8,3,2809.3,9.3
"E33018124","E01008901","E02001863",2011,509,12,85,161,112,49,18,17,47,3,5,12636.1,25.2
"E33018125","E01008901","E02001863",2011,471,11,85,168,115,42,9,10,31,0,0,8353.5,17.7
"E33018126","E01008917","E02001928",2011,261,43,44,74,56,7,6,0,4,20,7,2191.7,9.4
"E33018127","E01008961","E02001942",2011,356,65,112,71,80,8,4,3,5,1,7,2851.7,8.2
"E33018128","E01008961","E02001942",2011,371,112,119,80,44,8,1,1,1,2,3,2072.4,5.7
"E33018129","E01008950","E02001939",2011,771,57,153,183,238,63,32,12,18,8,7,10105.8,13.4
"E33018130","E01008991","E02001890",2011,794,49,177,281,169,40,26,15,11,16,10,8901,11.6
"E33018131","E01008994","E02001900",2011,935,31,146,338,226,86,41,27,40,0,0,15597.7,16.7
"E33018132","E01008994","E02001900",2011,333,19,57,114,64,38,12,6,22,0,1,6023.9,18.1
"E33018133","E01008994","E02001900",2011,739,19,114,316,151,65,22,18,24,6,4,10773.7,14.8
"E33018134","E01008994","E02001900",2011,206,37,53,67,29,8,1,1,7,2,1,2725.4,13.4
"E33018135","E01008994","E02001900",2011,308,21,52,84,73,34,10,8,9,5,12,4388.7,15.1
"E33018136","E01008990","E02001890",2011,741,31,146,230,198,65,29,20,22,0,0,11038.7,14.9
"E33018137","E01008990","E02001890",2011,251,24,41,84,47,15,6,2,15,11,6,3833,16.4
