"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33018102","E01008884","E02001904",2011,735,10,3,17,82,0,7,510,39,14,53,0
"E33018103","E01008884","E02001904",2011,324,3,2,5,42,0,1,219,17,3,26,6
"E33018104","E01008884","E02001904",2011,704,0,2,11,60,3,11,463,75,26,51,2
"E33018105","E01008884","E02001904",2011,413,0,0,9,49,1,3,319,14,5,13,0
"E33018106","E01008889","E02001904",2011,498,0,0,6,43,2,4,351,43,22,24,3
"E33018107","E01008889","E02001904",2011,228,14,0,9,25,1,4,134,11,2,25,3
"E33018108","E01008887","E02001904",2011,522,3,0,7,45,2,2,404,20,12,26,1
"E33018109","E01008889","E02001904",2011,179,7,0,7,24,1,0,109,11,8,12,0
"E33018110","E01008889","E02001904",2011,490,1,1,10,61,5,7,315,36,29,24,1
"E33018111","E01008889","E02001904",2011,473,0,0,13,38,1,4,346,32,12,27,0
"E33018112","E01008889","E02001904",2011,623,0,7,28,85,7,4,426,39,2,23,2
"E33018113","E01008910","E02001876",2011,481,0,1,9,65,1,6,360,20,13,6,0
"E33018114","E01008910","E02001876",2011,2456,0,18,129,423,10,29,1595,87,39,120,6
"E33018115","E01033638","E02001875",2011,821,1,9,30,174,7,2,480,46,9,61,2
"E33018116","E01008913","E02001876",2011,363,7,5,9,75,0,3,222,18,7,16,1
"E33018117","E01008899","E02001863",2011,383,0,1,16,57,0,6,250,35,5,10,3
"E33018118","E01008899","E02001863",2011,256,2,0,5,21,0,1,185,22,5,14,1
"E33018119","E01008899","E02001863",2011,452,0,1,20,60,2,6,302,22,8,30,1
"E33018120","E01008899","E02001863",2011,465,0,0,7,38,1,5,363,29,8,14,0
"E33018121","E01008901","E02001863",2011,659,3,1,50,142,1,1,343,71,1,45,1
"E33018122","E01008901","E02001863",2011,667,0,2,30,69,19,5,491,30,6,11,4
"E33018123","E01008901","E02001863",2011,314,8,0,14,24,1,4,225,11,5,21,1
"E33018124","E01008901","E02001863",2011,509,3,2,27,59,2,1,378,21,4,10,2
"E33018125","E01008901","E02001863",2011,471,0,3,27,43,0,4,352,22,6,13,1
"E33018126","E01008917","E02001928",2011,261,20,0,1,40,0,2,150,25,3,18,2
"E33018127","E01008961","E02001942",2011,356,1,0,13,89,0,1,191,14,7,40,0
"E33018128","E01008961","E02001942",2011,371,2,1,14,82,0,3,183,22,2,62,0
"E33018129","E01008950","E02001939",2011,771,8,4,97,53,1,10,552,14,11,21,0
"E33018130","E01008991","E02001890",2011,794,16,2,24,137,7,3,545,23,8,29,0
"E33018131","E01008994","E02001900",2011,935,0,8,138,148,0,4,557,20,21,37,2
"E33018132","E01008994","E02001900",2011,333,0,0,40,54,0,0,208,14,3,14,0
"E33018133","E01008994","E02001900",2011,739,6,1,97,105,1,5,453,29,16,26,0
"E33018134","E01008994","E02001900",2011,206,2,1,20,49,1,2,93,7,2,29,0
"E33018135","E01008994","E02001900",2011,308,5,1,25,37,1,0,215,4,3,16,1
"E33018136","E01008990","E02001890",2011,741,0,6,146,122,1,2,385,28,15,36,0
"E33018137","E01008990","E02001890",2011,251,11,3,16,40,1,0,152,13,0,14,1
"E33018138","E01008990","E02001890",2011,415,0,1,19,41,0,2,318,12,13,9,0
"E33018139","E01008990","E02001890",2011,1722,0,14,196,365,6,3,950,57,16,112,3
"E33018140","E01008990","E02001890",2011,564,0,4,71,102,3,1,310,29,6,37,1
"E33018141","E01008988","E02001890",2011,392,3,1,25,52,1,0,259,17,7,25,2
"E33018142","E01033631","E02001905",2011,7744,4,24,1308,651,22,47,3474,244,476,1482,12
"E33018143","E01033631","E02001905",2011,210,0,1,14,11,0,0,147,14,8,15,0
"E33018144","E01033631","E02001905",2011,373,17,3,28,52,2,5,228,15,10,13,0
"E33018145","E01009007","E02001849",2011,233,0,0,10,44,1,1,123,9,3,42,0
"E33018146","E01009007","E02001849",2011,282,5,0,2,61,2,1,153,13,6,37,2
"E33018147","E01009007","E02001849",2011,384,5,2,21,92,2,1,189,15,4,53,0
"E33018148","E01009007","E02001849",2011,487,0,0,32,117,7,0,255,20,0,56,0
"E33018149","E01009007","E02001849",2011,507,0,2,28,71,3,0,329,13,4,56,1
"E33018150","E01009007","E02001849",2011,271,4,1,16,22,0,1,180,7,10,27,3
"E33018151","E01009007","E02001849",2011,398,1,3,8,66,0,0,196,65,15,41,3
"E33018152","E01009007","E02001849",2011,407,4,0,10,106,2,0,184,22,3,76,0
"E33018153","E01009014","E02001916",2011,1018,10,1,43,44,0,12,785,45,33,44,1
"E33018154","E01009026","E02001916",2011,370,9,0,15,30,0,0,249,23,4,40,0
"E33018155","E01033641","E02006901",2011,345,8,2,18,33,0,0,234,16,7,27,0
"E33018156","E01009015","E02001915",2011,315,10,0,4,31,2,0,212,18,0,38,0
"E33018157","E01009045","E02001923",2011,410,5,1,18,53,0,3,281,20,3,24,2
"E33018158","E01009069","E02001901",2011,491,2,2,19,108,1,1,250,25,8,70,5
"E33018159","E01009069","E02001901",2011,261,13,1,7,65,2,1,118,11,7,36,0
"E33018160","E01009098","E02001851",2011,842,15,0,3,76,2,14,600,36,33,61,2
"E33018161","E01009102","E02001854",2011,1571,3,1,18,167,6,12,1200,74,39,48,3
"E33018162","E01009102","E02001854",2011,1166,0,2,19,222,10,4,713,93,18,83,2
"E33018163","E01009102","E02001854",2011,388,0,0,3,40,0,1,289,30,9,16,0
"E33018164","E01009102","E02001854",2011,584,0,1,7,53,8,3,471,16,13,11,1
"E33018165","E01009102","E02001854",2011,313,4,0,3,22,0,4,243,18,7,12,0
"E33018166","E01009102","E02001854",2011,304,3,0,8,29,0,2,238,14,3,7,0
"E33018167","E01009102","E02001854",2011,1483,0,4,48,183,19,10,1099,73,16,29,2
"E33018168","E01009102","E02001854",2011,1028,2,0,5,144,2,9,718,70,24,51,3
"E33018169","E01009101","E02001855",2011,711,3,1,13,124,8,4,431,57,14,53,3
"E33018170","E01009101","E02001855",2011,2810,1,0,9,156,6,24,2172,238,100,102,2
"E33018171","E01009101","E02001855",2011,526,7,0,11,67,4,5,341,30,30,30,1
"E33018172","E01009119","E02001949",2011,249,0,0,3,25,1,3,166,16,10,24,1
"E33018173","E01009119","E02001949",2011,274,6,0,7,52,0,1,161,15,3,28,1
"E33018174","E01009119","E02001949",2011,668,0,0,30,96,1,1,448,44,10,36,2
"E33018175","E01009119","E02001949",2011,386,0,1,14,34,0,2,291,20,4,20,0
"E33018176","E01009119","E02001949",2011,745,0,1,21,83,3,7,539,35,11,45,0
"E33018177","E01009116","E02001953",2011,965,17,0,21,81,6,13,683,34,34,73,3
